ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
838,2022,Trae Young,PG,23.0,ATL,76.0,76.0,2652.0,711.0,1544.0,0.46,233.0,610.0,0.382,478.0,934.0,0.512,0.536,500.0,553.0,0.904,50.0,234.0,284.0,737.0,72.0,7.0,303.0,128.0,2155.0,0.01885369532428356,0.08823529411764706,0.10708898944193061,0.2779034690799397,0.027149321266968326,0.0026395173453996985,0.11425339366515837,0.048265460030165915,0.8125942684766214,0.00017345399698340876,0.0001440422322775264,100
353,2022,Kevin Huerter,SF,23.0,ATL,74.0,60.0,2188.0,345.0,760.0,0.454,160.0,411.0,0.389,185.0,349.0,0.53,0.559,42.0,52.0,0.808,32.0,222.0,254.0,203.0,55.0,26.0,91.0,185.0,892.0,0.014625228519195612,0.10146252285191956,0.11608775137111517,0.09277879341864717,0.025137111517367458,0.011882998171846435,0.041590493601462525,0.08455210237659963,0.4076782449725777,0.00020749542961608775,0.00017778793418647167,78
116,2022,Clint Capela,C,27.0,ATL,74.0,73.0,2042.0,370.0,604.0,0.613,0.0,1.0,0.0,370.0,603.0,0.614,0.613,80.0,169.0,0.473,279.0,598.0,877.0,92.0,55.0,93.0,44.0,166.0,820.0,0.1366307541625857,0.29285014691478944,0.42948090107737513,0.04505386875612145,0.02693437806072478,0.0455435847208619,0.021547502448579822,0.08129285014691479,0.4015670910871694,0.00030019588638589617,0.0,80
67,2022,Bogdan Bogdanović,SG,29.0,ATL,63.0,27.0,1848.0,342.0,794.0,0.431,169.0,459.0,0.368,173.0,335.0,0.516,0.537,97.0,115.0,0.843,29.0,221.0,250.0,194.0,68.0,14.0,70.0,132.0,950.0,0.015692640692640692,0.11958874458874459,0.13528138528138528,0.10497835497835498,0.0367965367965368,0.007575757575757576,0.03787878787878788,0.07142857142857142,0.5140692640692641,0.00023322510822510823,0.00019913419913419913,76
251,2022,Danilo Gallinari,PF,33.0,ATL,66.0,18.0,1672.0,259.0,597.0,0.434,112.0,294.0,0.381,147.0,303.0,0.485,0.528,141.0,156.0,0.904,35.0,273.0,308.0,101.0,28.0,12.0,38.0,93.0,771.0,0.020933014354066987,0.1632775119617225,0.18421052631578946,0.060406698564593304,0.01674641148325359,0.007177033492822967,0.022727272727272728,0.05562200956937799,0.4611244019138756,0.00025956937799043064,0.0002278708133971292,71
140,2022,John Collins,PF,24.0,ATL,54.0,53.0,1663.0,339.0,644.0,0.526,64.0,176.0,0.364,275.0,468.0,0.588,0.576,134.0,169.0,0.793,93.0,329.0,422.0,98.0,33.0,56.0,60.0,164.0,876.0,0.05592303066746843,0.1978352375225496,0.25375826819001807,0.058929645219482865,0.01984365604329525,0.03367408298256164,0.03607937462417318,0.09861695730607337,0.5267588695129285,0.00031629585087191824,0.0002188815393866506,85
359,2022,De'Andre Hunter,SF,24.0,ATL,53.0,52.0,1577.0,254.0,575.0,0.442,74.0,195.0,0.379,180.0,380.0,0.474,0.506,127.0,166.0,0.765,26.0,150.0,176.0,68.0,36.0,21.0,69.0,155.0,709.0,0.016487000634115408,0.09511731135066583,0.11160431198478123,0.04311984781230184,0.022828154724159798,0.013316423589093214,0.04375396322130628,0.09828788839568801,0.4495878249841471,0.00028027901077996197,0.0002403297400126823,77
828,2022,Delon Wright,SG,29.0,ATL,77.0,8.0,1452.0,122.0,269.0,0.454,44.0,116.0,0.379,78.0,153.0,0.51,0.535,54.0,63.0,0.857,50.0,170.0,220.0,188.0,93.0,19.0,45.0,56.0,342.0,0.03443526170798898,0.11707988980716254,0.15151515151515152,0.12947658402203857,0.0640495867768595,0.013085399449035813,0.030991735537190084,0.03856749311294766,0.23553719008264462,0.00031267217630853993,0.0002610192837465565,66
587,2022,Onyeka Okongwu,C,21.0,ATL,48.0,6.0,992.0,156.0,226.0,0.69,0.0,0.0,0.0,156.0,226.0,0.69,0.69,80.0,110.0,0.727,115.0,168.0,283.0,53.0,31.0,60.0,44.0,149.0,392.0,0.1159274193548387,0.1693548387096774,0.2852822580645161,0.05342741935483871,0.03125,0.06048387096774194,0.04435483870967742,0.1502016129032258,0.3951612903225806,0.0006955645161290322,0.0,54
816,2022,Lou Williams,PG,35.0,ATL,56.0,0.0,799.0,125.0,320.0,0.391,37.0,102.0,0.363,88.0,218.0,0.404,0.448,67.0,78.0,0.859,16.0,71.0,87.0,105.0,28.0,3.0,43.0,48.0,354.0,0.02002503128911139,0.08886107634543179,0.10888610763454318,0.13141426783479349,0.03504380475594493,0.0037546933667083854,0.05381727158948686,0.060075093867334166,0.4430538172715895,0.0004893617021276596,0.0004543178973717146,63
481,2022,Timothé Luwawu-Cabarrot,SF,26.0,ATL,52.0,18.0,685.0,74.0,186.0,0.398,44.0,122.0,0.361,30.0,64.0,0.469,0.516,35.0,41.0,0.854,17.0,65.0,82.0,40.0,18.0,6.0,20.0,76.0,227.0,0.024817518248175182,0.0948905109489051,0.11970802919708029,0.058394160583941604,0.026277372262773723,0.008759124087591242,0.029197080291970802,0.11094890510948906,0.33138686131386863,0.000581021897810219,0.0005270072992700729,65
177,2022,Gorgui Dieng,C,32.0,ATL,44.0,3.0,371.0,53.0,112.0,0.473,29.0,68.0,0.426,24.0,44.0,0.545,0.603,19.0,26.0,0.731,32.0,89.0,121.0,34.0,11.0,13.0,20.0,52.0,154.0,0.0862533692722372,0.2398921832884097,0.3261455525606469,0.09164420485175202,0.029649595687331536,0.03504043126684636,0.05390835579514825,0.14016172506738545,0.41509433962264153,0.001274932614555256,0.0011482479784366577,54
502,2022,Skylar Mays,SG,24.0,ATL,28.0,5.0,220.0,32.0,64.0,0.5,8.0,25.0,0.32,24.0,39.0,0.615,0.563,8.0,9.0,0.889,5.0,20.0,25.0,17.0,7.0,0.0,10.0,9.0,80.0,0.022727272727272728,0.09090909090909091,0.11363636363636363,0.07727272727272727,0.031818181818181815,0.0,0.045454545454545456,0.04090909090909091,0.36363636363636365,0.0022727272727272726,0.0014545454545454547,65
