ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
527,2022,Patty Mills,SG,33.0,BRK,81.0,48.0,2346.0,324.0,794.0,0.408,227.0,568.0,0.4,97.0,226.0,0.429,0.551,48.0,59.0,0.814,18.0,138.0,156.0,183.0,51.0,17.0,73.0,112.0,923.0,0.0076726342710997444,0.058823529411764705,0.06649616368286446,0.07800511508951406,0.021739130434782608,0.007246376811594203,0.03111679454390452,0.04774083546462063,0.3934356351236147,0.00017391304347826085,0.00017050298380221656,68
205,2022,Kevin Durant,PF,33.0,BRK,55.0,55.0,2047.0,578.0,1115.0,0.518,115.0,300.0,0.383,463.0,815.0,0.568,0.57,372.0,409.0,0.91,29.0,378.0,407.0,351.0,48.0,52.0,191.0,113.0,1643.0,0.014167073766487542,0.18466047874938935,0.1988275525158769,0.1714704445530044,0.02344894968246214,0.025403028822667317,0.09330727894479726,0.055202735710796286,0.802638006839277,0.0002530532486565706,0.00018710307767464584,100
88,2022,Bruce Brown,SF,25.0,BRK,72.0,45.0,1774.0,256.0,506.0,0.506,38.0,94.0,0.404,218.0,412.0,0.529,0.543,97.0,128.0,0.758,100.0,245.0,345.0,148.0,77.0,52.0,56.0,176.0,647.0,0.05636978579481398,0.13810597519729426,0.19447576099210823,0.0834272829763247,0.04340473506200677,0.029312288613303268,0.03156708004509583,0.0992108229988726,0.3647125140924464,0.00028523111612175874,0.0002277339346110485,80
395,2022,James Johnson,PF,34.0,BRK,62.0,10.0,1191.0,144.0,307.0,0.469,23.0,85.0,0.271,121.0,222.0,0.545,0.507,29.0,55.0,0.527,51.0,164.0,215.0,130.0,30.0,34.0,48.0,162.0,340.0,0.042821158690176324,0.1376994122586062,0.18052057094878254,0.109151973131822,0.02518891687657431,0.028547439126784216,0.04030226700251889,0.13602015113350127,0.28547439126784213,0.00039378673383711166,0.00022753988245172125,66
744,2022,Cam Thomas,SG,20.0,BRK,67.0,2.0,1176.0,218.0,503.0,0.433,47.0,174.0,0.27,171.0,329.0,0.52,0.48,87.0,105.0,0.829,16.0,145.0,161.0,78.0,33.0,8.0,55.0,66.0,570.0,0.013605442176870748,0.12329931972789115,0.13690476190476192,0.0663265306122449,0.02806122448979592,0.006802721088435374,0.0467687074829932,0.05612244897959184,0.4846938775510204,0.00036819727891156465,0.0002295918367346939,64
369,2022,Kyrie Irving,PG,29.0,BRK,29.0,29.0,1091.0,289.0,616.0,0.469,100.0,239.0,0.418,189.0,377.0,0.501,0.55,118.0,129.0,0.915,16.0,111.0,127.0,167.0,41.0,17.0,73.0,81.0,796.0,0.01466544454628781,0.10174152153987168,0.11640696608615948,0.15307057745187902,0.03758020164986251,0.015582034830430797,0.06691109074243813,0.07424381301558204,0.7296058661778185,0.00042988084326306137,0.000383134738771769,93
4,2022,LaMarcus Aldridge,C,36.0,BRK,47.0,12.0,1050.0,252.0,458.0,0.55,14.0,46.0,0.304,238.0,412.0,0.578,0.566,89.0,102.0,0.873,73.0,185.0,258.0,42.0,14.0,47.0,44.0,78.0,607.0,0.06952380952380953,0.1761904761904762,0.24571428571428572,0.04,0.013333333333333334,0.04476190476190476,0.0419047619047619,0.07428571428571429,0.5780952380952381,0.0005238095238095238,0.0002895238095238095,65
209,2022,Kessler Edwards,SF,21.0,BRK,48.0,23.0,987.0,110.0,267.0,0.412,48.0,136.0,0.353,62.0,131.0,0.473,0.502,16.0,19.0,0.842,44.0,128.0,172.0,31.0,29.0,24.0,42.0,85.0,284.0,0.044579533941236066,0.12968591691995948,0.17426545086119555,0.031408308004052685,0.029381965552178316,0.0243161094224924,0.0425531914893617,0.08611955420466058,0.2877406281661601,0.0004174265450861195,0.00035764944275582574,66
138,2022,Nic Claxton,C,22.0,BRK,47.0,19.0,974.0,178.0,264.0,0.674,0.0,0.0,0.0,178.0,264.0,0.674,0.674,54.0,93.0,0.581,91.0,173.0,264.0,43.0,24.0,51.0,38.0,110.0,410.0,0.09342915811088295,0.17761806981519507,0.27104722792607805,0.044147843942505136,0.024640657084188913,0.052361396303901436,0.039014373716632446,0.11293634496919917,0.4209445585215606,0.0006919917864476387,0.0,65
282,2022,Blake Griffin,C,32.0,BRK,56.0,24.0,958.0,133.0,313.0,0.425,38.0,145.0,0.262,95.0,168.0,0.565,0.486,55.0,76.0,0.724,60.0,168.0,228.0,105.0,27.0,14.0,31.0,95.0,359.0,0.06263048016701461,0.17536534446764093,0.23799582463465555,0.10960334029227557,0.028183716075156576,0.014613778705636743,0.032359081419624215,0.09916492693110647,0.3747390396659708,0.0004436325678496868,0.0002734864300626305,54
302,2022,Joe Harris,SF,30.0,BRK,14.0,14.0,423.0,56.0,124.0,0.452,41.0,88.0,0.466,15.0,36.0,0.417,0.617,5.0,6.0,0.833,5.0,51.0,56.0,14.0,7.0,2.0,16.0,31.0,158.0,0.01182033096926714,0.12056737588652482,0.13238770685579196,0.03309692671394799,0.016548463356973995,0.004728132387706856,0.037825059101654845,0.07328605200945626,0.3735224586288416,0.0010685579196217493,0.0011016548463356974,65
690,2022,Day'Ron Sharpe,PF,20.0,BRK,32.0,8.0,391.0,86.0,149.0,0.577,2.0,7.0,0.286,84.0,142.0,0.592,0.584,24.0,41.0,0.585,81.0,79.0,160.0,17.0,10.0,15.0,30.0,60.0,198.0,0.2071611253196931,0.2020460358056266,0.4092071611253197,0.043478260869565216,0.02557544757033248,0.03836317135549872,0.07672634271099744,0.1534526854219949,0.5063938618925832,0.0014757033248081841,0.0007314578005115089,66
203,2022,David Duke Jr.,PG,22.0,BRK,22.0,7.0,341.0,39.0,108.0,0.361,9.0,37.0,0.243,30.0,71.0,0.423,0.403,17.0,21.0,0.81,30.0,37.0,67.0,17.0,14.0,7.0,9.0,36.0,104.0,0.08797653958944282,0.10850439882697947,0.19648093841642228,0.04985337243401759,0.04105571847507331,0.020527859237536656,0.026392961876832845,0.10557184750733138,0.30498533724340177,0.001058651026392962,0.0007126099706744868,63
304,2022,Shaquille Harrison,SG,28.0,BRK,2.0,0.0,23.0,2.0,6.0,0.333,0.0,2.0,0.0,2.0,4.0,0.5,0.333,0.0,0.0,,1.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,4.0,0.043478260869565216,0.13043478260869565,0.17391304347826086,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.13043478260869565,0.17391304347826086,0.014478260869565218,0.0,65
