ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
173,2022,DeMar DeRozan,PF,32.0,CHI,76.0,76.0,2743.0,774.0,1535.0,0.504,50.0,142.0,0.352,724.0,1393.0,0.52,0.521,520.0,593.0,0.877,56.0,336.0,392.0,374.0,68.0,24.0,181.0,178.0,2118.0,0.02041560335399198,0.12249362012395187,0.14290922347794385,0.13634706525701787,0.024790375501275976,0.008749544294567991,0.06598614655486694,0.06489245351804593,0.7721472839956253,0.0001837404301859278,0.00012832664965366388,100
778,2022,Nikola Vučević,C,31.0,CHI,73.0,73.0,2418.0,546.0,1154.0,0.473,104.0,331.0,0.314,442.0,823.0,0.537,0.518,92.0,121.0,0.76,142.0,662.0,804.0,236.0,70.0,71.0,136.0,181.0,1288.0,0.058726220016542596,0.2737799834574028,0.3325062034739454,0.09760132340777503,0.028949545078577336,0.029363110008271298,0.05624483043837883,0.07485525227460711,0.532671629445823,0.000195616211745244,0.00012985938792390406,82
458,2022,Zach LaVine,SG,26.0,CHI,67.0,67.0,2328.0,565.0,1186.0,0.476,185.0,475.0,0.389,380.0,711.0,0.534,0.554,320.0,375.0,0.853,22.0,286.0,308.0,303.0,41.0,23.0,171.0,120.0,1635.0,0.009450171821305841,0.12285223367697594,0.1323024054982818,0.13015463917525774,0.01761168384879725,0.009879725085910653,0.07345360824742268,0.05154639175257732,0.7023195876288659,0.00020446735395189002,0.00016709621993127148,98
187,2022,Ayo Dosunmu,SG,22.0,CHI,77.0,40.0,2110.0,278.0,535.0,0.52,70.0,186.0,0.376,208.0,349.0,0.596,0.585,53.0,78.0,0.679,27.0,187.0,214.0,256.0,60.0,29.0,108.0,182.0,679.0,0.012796208530805687,0.08862559241706161,0.1014218009478673,0.12132701421800948,0.02843601895734597,0.013744075829383886,0.05118483412322275,0.08625592417061612,0.32180094786729857,0.0002464454976303318,0.00017819905213270143,74
803,2022,Coby White,PG,21.0,CHI,61.0,17.0,1675.0,279.0,644.0,0.433,136.0,353.0,0.385,143.0,291.0,0.491,0.539,78.0,91.0,0.857,17.0,165.0,182.0,176.0,29.0,11.0,70.0,137.0,772.0,0.010149253731343283,0.09850746268656717,0.10865671641791044,0.10507462686567164,0.017313432835820895,0.006567164179104477,0.041791044776119404,0.0817910447761194,0.4608955223880597,0.00025850746268656717,0.0002298507462686567,80
279,2022,Javonte Green,SF,28.0,CHI,65.0,45.0,1519.0,176.0,325.0,0.542,36.0,101.0,0.356,140.0,224.0,0.625,0.597,80.0,96.0,0.833,91.0,185.0,276.0,60.0,67.0,32.0,30.0,132.0,468.0,0.059907834101382486,0.1217906517445688,0.18169848584595127,0.03949967083607637,0.044107965766951945,0.02106649111257406,0.019749835418038184,0.086899275839368,0.30809743252139565,0.0003568136932192232,0.00023436471362738644,75
34,2022,Lonzo Ball,PG,24.0,CHI,35.0,35.0,1212.0,162.0,383.0,0.423,110.0,260.0,0.423,52.0,123.0,0.423,0.567,21.0,28.0,0.75,35.0,155.0,190.0,178.0,64.0,31.0,82.0,85.0,455.0,0.028877887788778877,0.12788778877887788,0.15676567656765678,0.14686468646864687,0.052805280528052806,0.02557755775577558,0.06765676567656766,0.07013201320132013,0.37541254125412543,0.000349009900990099,0.000349009900990099,98
124,2022,Alex Caruso,SG,27.0,CHI,41.0,18.0,1147.0,102.0,256.0,0.398,42.0,126.0,0.333,60.0,130.0,0.462,0.48,58.0,73.0,0.795,33.0,115.0,148.0,165.0,71.0,15.0,57.0,106.0,304.0,0.02877070619006103,0.1002615518744551,0.12903225806451613,0.14385353095030515,0.06190061028770706,0.013077593722755012,0.04969485614646905,0.09241499564080209,0.26503923278116825,0.0003469921534437664,0.0002903225806451613,66
101,2022,Troy Brown Jr.,SF,22.0,CHI,66.0,7.0,1055.0,108.0,258.0,0.419,47.0,133.0,0.353,61.0,125.0,0.488,0.51,20.0,26.0,0.769,39.0,164.0,203.0,66.0,36.0,5.0,26.0,62.0,283.0,0.03696682464454976,0.15545023696682464,0.1924170616113744,0.06255924170616113,0.034123222748815164,0.004739336492890996,0.024644549763033177,0.058767772511848344,0.2682464454976303,0.0003971563981042654,0.0003345971563981042,66
410,2022,Derrick Jones Jr.,PF,24.0,CHI,51.0,8.0,899.0,105.0,195.0,0.538,20.0,61.0,0.328,85.0,134.0,0.634,0.59,56.0,70.0,0.8,60.0,109.0,169.0,30.0,25.0,33.0,30.0,105.0,286.0,0.06674082313681869,0.12124582869855395,0.18798665183537264,0.03337041156840934,0.027808676307007785,0.03670745272525028,0.03337041156840934,0.1167964404894327,0.3181312569521691,0.0005984427141268076,0.0003648498331479422,66
78,2022,Tony Bradley,C,24.0,CHI,55.0,7.0,549.0,72.0,123.0,0.585,0.0,0.0,0.0,72.0,123.0,0.585,0.585,19.0,29.0,0.655,67.0,119.0,186.0,27.0,10.0,33.0,34.0,62.0,163.0,0.122040072859745,0.2167577413479053,0.33879781420765026,0.04918032786885246,0.018214936247723135,0.060109289617486336,0.061930783242258654,0.11293260473588343,0.29690346083788705,0.0010655737704918032,0.0,54
749,2022,Matt Thomas,SG,27.0,CHI,40.0,0.0,459.0,55.0,134.0,0.41,35.0,91.0,0.385,20.0,43.0,0.465,0.541,16.0,20.0,0.8,3.0,47.0,50.0,20.0,8.0,3.0,8.0,18.0,161.0,0.006535947712418301,0.10239651416122005,0.10893246187363835,0.04357298474945534,0.017429193899782137,0.006535947712418301,0.017429193899782137,0.0392156862745098,0.35076252723311546,0.0008932461873638344,0.0008387799564270153,65
817,2022,Patrick Williams,PF,20.0,CHI,17.0,9.0,422.0,54.0,102.0,0.529,15.0,29.0,0.517,39.0,73.0,0.534,0.603,30.0,41.0,0.732,17.0,52.0,69.0,15.0,9.0,9.0,16.0,28.0,153.0,0.04028436018957346,0.12322274881516587,0.16350710900473933,0.035545023696682464,0.02132701421800948,0.02132701421800948,0.037914691943127965,0.06635071090047394,0.36255924170616116,0.0012535545023696683,0.0012251184834123224,65
518,2022,Alfonzo McKinnie,SF,29.0,CHI,17.0,3.0,206.0,24.0,61.0,0.393,9.0,27.0,0.333,15.0,34.0,0.441,0.467,2.0,8.0,0.25,13.0,20.0,33.0,5.0,2.0,3.0,7.0,26.0,59.0,0.06310679611650485,0.0970873786407767,0.16019417475728157,0.024271844660194174,0.009708737864077669,0.014563106796116505,0.03398058252427184,0.1262135922330097,0.28640776699029125,0.0019077669902912622,0.001616504854368932,65
145,2022,Tyler Cook,PF,24.0,CHI,20.0,2.0,200.0,23.0,38.0,0.605,0.0,0.0,0.0,23.0,38.0,0.605,0.605,21.0,32.0,0.656,16.0,37.0,53.0,3.0,4.0,4.0,7.0,28.0,67.0,0.08,0.185,0.265,0.015,0.02,0.02,0.035,0.14,0.335,0.003025,0.0,65
189,2022,Devon Dotson,PG,22.0,CHI,11.0,0.0,85.0,11.0,23.0,0.478,2.0,9.0,0.222,9.0,14.0,0.643,0.522,5.0,9.0,0.556,1.0,8.0,9.0,15.0,1.0,0.0,5.0,11.0,29.0,0.011764705882352941,0.09411764705882353,0.10588235294117647,0.17647058823529413,0.011764705882352941,0.0,0.058823529411764705,0.12941176470588237,0.3411764705882353,0.005623529411764706,0.002611764705882353,63
696,2022,Marko Simonovic,C,22.0,CHI,9.0,0.0,35.0,4.0,15.0,0.267,1.0,5.0,0.2,3.0,10.0,0.3,0.3,8.0,11.0,0.727,5.0,5.0,10.0,0.0,1.0,1.0,2.0,6.0,17.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.17142857142857143,0.4857142857142857,0.007628571428571429,0.005714285714285714,54
52,2022,Jordan Bell,C,27.0,CHI,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,54
