ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
81,2022,Miles Bridges,PF,23.0,CHO,80.0,80.0,2837.0,596.0,1214.0,0.491,154.0,465.0,0.331,442.0,749.0,0.59,0.554,267.0,333.0,0.802,90.0,469.0,559.0,300.0,74.0,67.0,150.0,193.0,1613.0,0.031723651744800845,0.16531547409235106,0.1970391258371519,0.10574550581600282,0.02608389143461403,0.023616496298907295,0.05287275290800141,0.06802960874162849,0.5685583362707085,0.00017307014451885795,0.00011667254141698978,100
667,2022,Terry Rozier,SG,27.0,CHO,73.0,73.0,2458.0,518.0,1167.0,0.444,222.0,593.0,0.374,296.0,574.0,0.516,0.539,150.0,176.0,0.852,56.0,259.0,315.0,326.0,93.0,25.0,96.0,119.0,1408.0,0.022782750203417412,0.10537021969080554,0.12815296989422295,0.13262815296989422,0.037835638730675344,0.01017087062652563,0.03905614320585842,0.048413344182262,0.5728234336859235,0.0001806346623270952,0.00015215622457282344,87
33,2022,LaMelo Ball,PG,20.0,CHO,75.0,75.0,2422.0,538.0,1254.0,0.429,220.0,565.0,0.389,318.0,689.0,0.462,0.517,212.0,243.0,0.872,108.0,393.0,501.0,571.0,119.0,30.0,245.0,237.0,1508.0,0.04459124690338563,0.16226259289843104,0.20685383980181668,0.23575557390586294,0.049132947976878616,0.012386457473162676,0.10115606936416185,0.09785301403798513,0.6226259289843105,0.00017712634186622624,0.0001606110652353427,100
597,2022,Kelly Oubre Jr.,SF,26.0,CHO,76.0,13.0,1999.0,410.0,932.0,0.44,191.0,553.0,0.345,219.0,379.0,0.578,0.542,126.0,189.0,0.667,79.0,223.0,302.0,84.0,77.0,31.0,67.0,189.0,1137.0,0.03951975987993997,0.11155577788894447,0.15107553776888444,0.04202101050525263,0.03851925962981491,0.015507753876938469,0.0335167583791896,0.0945472736368184,0.568784392196098,0.00022011005502751375,0.00017258629314657328,86
493,2022,Cody Martin,SF,26.0,CHO,71.0,11.0,1866.0,204.0,423.0,0.482,61.0,159.0,0.384,143.0,264.0,0.542,0.554,75.0,107.0,0.701,82.0,203.0,285.0,179.0,88.0,32.0,61.0,116.0,544.0,0.04394426580921758,0.10878885316184352,0.1527331189710611,0.09592711682743837,0.04715969989281887,0.01714898177920686,0.03269024651661308,0.06216505894962487,0.2915326902465166,0.00025830653804930333,0.0002057877813504823,74
614,2022,Mason Plumlee,C,31.0,CHO,73.0,73.0,1793.0,205.0,320.0,0.641,0.0,2.0,0.0,205.0,318.0,0.645,0.641,67.0,171.0,0.392,176.0,389.0,565.0,226.0,61.0,52.0,100.0,224.0,477.0,0.09815950920245399,0.2169548243167875,0.3151143335192415,0.1260457334076966,0.03402119353039598,0.029001673173452314,0.05577244841048522,0.1249302844394869,0.2660345789180145,0.0003575013943112103,0.0,74
793,2022,P.J. Washington,C,23.0,CHO,65.0,28.0,1768.0,250.0,532.0,0.47,110.0,301.0,0.365,140.0,231.0,0.606,0.573,58.0,81.0,0.716,82.0,255.0,337.0,147.0,57.0,61.0,82.0,152.0,668.0,0.04638009049773756,0.14423076923076922,0.19061085972850678,0.0831447963800905,0.03223981900452489,0.034502262443438916,0.04638009049773756,0.08597285067873303,0.3778280542986425,0.00026583710407239816,0.00020644796380090498,71
313,2022,Gordon Hayward,SF,31.0,CHO,49.0,48.0,1564.0,283.0,617.0,0.459,86.0,220.0,0.391,197.0,397.0,0.496,0.528,126.0,149.0,0.846,38.0,186.0,224.0,177.0,47.0,22.0,81.0,85.0,778.0,0.024296675191815855,0.11892583120204604,0.1432225063938619,0.11317135549872123,0.030051150895140665,0.014066496163682864,0.05179028132992328,0.05434782608695652,0.49744245524296676,0.0002934782608695652,0.00025,82
513,2022,Jalen McDaniels,SF,24.0,CHO,55.0,2.0,895.0,123.0,254.0,0.484,41.0,108.0,0.38,82.0,146.0,0.562,0.565,53.0,72.0,0.736,37.0,133.0,170.0,58.0,26.0,22.0,36.0,93.0,340.0,0.041340782122905026,0.14860335195530727,0.18994413407821228,0.06480446927374302,0.02905027932960894,0.024581005586592177,0.04022346368715084,0.10391061452513967,0.37988826815642457,0.0005407821229050279,0.00042458100558659216,66
648,2022,Nick Richards,C,24.0,CHO,50.0,5.0,367.0,60.0,90.0,0.667,0.0,0.0,0.0,60.0,90.0,0.667,0.667,30.0,43.0,0.698,34.0,52.0,86.0,13.0,9.0,21.0,24.0,51.0,150.0,0.09264305177111716,0.14168937329700274,0.23433242506811988,0.035422343324250684,0.02452316076294278,0.05722070844686648,0.0653950953678474,0.13896457765667575,0.4087193460490463,0.0018174386920980928,0.0,54
76,2022,James Bouknight,SG,21.0,CHO,31.0,0.0,304.0,49.0,141.0,0.348,17.0,49.0,0.347,32.0,92.0,0.348,0.408,27.0,31.0,0.871,22.0,30.0,52.0,26.0,7.0,1.0,15.0,29.0,142.0,0.07236842105263158,0.09868421052631579,0.17105263157894737,0.08552631578947369,0.023026315789473683,0.003289473684210526,0.049342105263157895,0.09539473684210527,0.46710526315789475,0.001144736842105263,0.0011414473684210526,65
755,2022,JT Thor,PF,19.0,CHO,33.0,0.0,262.0,24.0,55.0,0.436,7.0,27.0,0.259,17.0,28.0,0.607,0.5,12.0,20.0,0.6,11.0,32.0,43.0,19.0,8.0,11.0,10.0,26.0,67.0,0.04198473282442748,0.12213740458015267,0.16412213740458015,0.07251908396946564,0.030534351145038167,0.04198473282442748,0.03816793893129771,0.09923664122137404,0.25572519083969464,0.0016641221374045802,0.0009885496183206107,65
413,2022,Kai Jones,C,21.0,CHO,21.0,0.0,63.0,9.0,14.0,0.643,1.0,2.0,0.5,8.0,12.0,0.667,0.679,3.0,8.0,0.375,3.0,8.0,11.0,4.0,1.0,2.0,6.0,8.0,22.0,0.047619047619047616,0.12698412698412698,0.1746031746031746,0.06349206349206349,0.015873015873015872,0.031746031746031744,0.09523809523809523,0.12698412698412698,0.3492063492063492,0.010206349206349207,0.007936507936507936,54
467,2022,Scottie Lewis,SG,21.0,CHO,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,65
446,2022,Arnoldas Kulboka,SF,24.0,CHO,2.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,65
