ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
405,2022,Nikola Jokić,C,26.0,DEN,74.0,74.0,2476.0,764.0,1311.0,0.583,97.0,288.0,0.337,667.0,1023.0,0.652,0.62,379.0,468.0,0.81,206.0,813.0,1019.0,584.0,109.0,63.0,281.0,191.0,2004.0,0.08319870759289176,0.32835218093699514,0.4115508885298869,0.2358642972536349,0.04402261712439418,0.02544426494345719,0.11348949919224556,0.077140549273021,0.8093699515347335,0.00023546042003231017,0.00013610662358642974,100
269,2022,Aaron Gordon,PF,26.0,DEN,75.0,75.0,2376.0,434.0,834.0,0.52,87.0,260.0,0.335,347.0,574.0,0.605,0.573,171.0,230.0,0.743,125.0,314.0,439.0,188.0,44.0,44.0,133.0,148.0,1126.0,0.05260942760942761,0.13215488215488216,0.18476430976430977,0.07912457912457913,0.018518518518518517,0.018518518518518517,0.05597643097643098,0.06228956228956229,0.4739057239057239,0.00021885521885521886,0.000140993265993266,90
42,2022,Will Barton,SG,31.0,DEN,71.0,71.0,2277.0,392.0,896.0,0.438,157.0,430.0,0.365,235.0,466.0,0.504,0.525,102.0,127.0,0.803,44.0,296.0,340.0,276.0,55.0,31.0,127.0,114.0,1043.0,0.01932367149758454,0.12999560825647782,0.14931927975406237,0.12121212121212122,0.024154589371980676,0.013614404918752744,0.05577514273166447,0.05006587615283267,0.4580588493631972,0.00019235836627140974,0.00016029863855950813,87
552,2022,Monte Morris,PG,26.0,DEN,75.0,74.0,2239.0,374.0,773.0,0.484,124.0,314.0,0.395,250.0,459.0,0.545,0.564,73.0,84.0,0.869,27.0,199.0,226.0,333.0,56.0,14.0,78.0,92.0,945.0,0.01205895489057615,0.08887896382313533,0.10093791871371148,0.14872711031710584,0.025011165698972757,0.006252791424743189,0.034836980794997766,0.04108977221974096,0.42206342117016526,0.00021616793211255025,0.00017641804376953998,80
280,2022,Jeff Green,PF,35.0,DEN,75.0,63.0,1849.0,277.0,529.0,0.524,53.0,168.0,0.315,224.0,361.0,0.62,0.574,165.0,198.0,0.833,41.0,190.0,231.0,96.0,28.0,27.0,71.0,151.0,772.0,0.022174148188209845,0.10275824770146025,0.12493239588967009,0.05191995673336939,0.015143320713899405,0.014602487831260141,0.03839913466738778,0.08166576527852894,0.41752298539751215,0.00028339643050297457,0.0001703623580313683,70
652,2022,Austin Rivers,SG,29.0,DEN,67.0,18.0,1480.0,146.0,350.0,0.417,79.0,231.0,0.342,67.0,119.0,0.563,0.53,32.0,44.0,0.727,19.0,95.0,114.0,90.0,51.0,6.0,54.0,121.0,403.0,0.012837837837837839,0.06418918918918919,0.07702702702702703,0.060810810810810814,0.03445945945945946,0.004054054054054054,0.03648648648648649,0.08175675675675675,0.2722972972972973,0.00028175675675675674,0.0002310810810810811,58
362,2022,Bones Hyland,SG,21.0,DEN,69.0,4.0,1310.0,230.0,571.0,0.403,131.0,358.0,0.366,99.0,213.0,0.465,0.518,107.0,125.0,0.856,14.0,174.0,188.0,191.0,41.0,20.0,86.0,153.0,698.0,0.010687022900763359,0.13282442748091602,0.1435114503816794,0.14580152671755725,0.031297709923664124,0.015267175572519083,0.06564885496183206,0.116793893129771,0.5328244274809161,0.0003076335877862596,0.0002793893129770992,70
113,2022,Facundo Campazzo,PG,30.0,DEN,65.0,4.0,1184.0,107.0,296.0,0.361,58.0,193.0,0.301,49.0,103.0,0.476,0.459,60.0,78.0,0.769,23.0,94.0,117.0,220.0,63.0,23.0,67.0,124.0,332.0,0.019425675675675675,0.07939189189189189,0.09881756756756757,0.1858108108108108,0.05320945945945946,0.019425675675675675,0.056587837837837836,0.10472972972972973,0.28040540540540543,0.00030489864864864864,0.000254222972972973,63
278,2022,JaMychal Green,PF,31.0,DEN,67.0,8.0,1085.0,159.0,327.0,0.486,33.0,124.0,0.266,126.0,203.0,0.621,0.537,81.0,93.0,0.871,81.0,200.0,281.0,59.0,43.0,26.0,57.0,158.0,432.0,0.07465437788018434,0.18433179723502305,0.2589861751152074,0.054377880184331796,0.03963133640552995,0.023963133640552997,0.052534562211981564,0.1456221198156682,0.39815668202764976,0.00044792626728110596,0.0002451612903225807,77
573,2022,Zeke Nnaji,PF,21.0,DEN,41.0,1.0,698.0,96.0,186.0,0.516,37.0,80.0,0.463,59.0,106.0,0.557,0.616,41.0,65.0,0.631,56.0,91.0,147.0,17.0,16.0,13.0,23.0,79.0,270.0,0.08022922636103152,0.1303724928366762,0.21060171919770773,0.024355300859598854,0.022922636103151862,0.01862464183381089,0.0329512893982808,0.11318051575931232,0.3868194842406877,0.0007392550143266476,0.0006633237822349571,65
