ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
60,2022,Saddiq Bey,SF,22.0,DET,82.0,82.0,2704.0,450.0,1136.0,0.396,211.0,610.0,0.346,239.0,526.0,0.454,0.489,210.0,254.0,0.827,107.0,334.0,441.0,233.0,73.0,16.0,96.0,128.0,1321.0,0.039571005917159764,0.1235207100591716,0.16309171597633135,0.08616863905325443,0.026997041420118342,0.005917159763313609,0.03550295857988166,0.047337278106508875,0.4885355029585799,0.00014644970414201184,0.00012795857988165678,90
161,2022,Cade Cunningham,SG,20.0,DET,64.0,64.0,2088.0,429.0,1031.0,0.416,114.0,363.0,0.314,315.0,668.0,0.472,0.471,142.0,168.0,0.845,58.0,296.0,354.0,356.0,78.0,43.0,234.0,200.0,1114.0,0.027777777777777776,0.1417624521072797,0.16954022988505746,0.17049808429118773,0.03735632183908046,0.020593869731800767,0.11206896551724138,0.09578544061302682,0.5335249042145593,0.00019923371647509577,0.00015038314176245212,95
727,2022,Isaiah Stewart,C,20.0,DET,71.0,71.0,1816.0,250.0,490.0,0.51,15.0,46.0,0.326,235.0,444.0,0.529,0.526,74.0,103.0,0.718,226.0,391.0,617.0,82.0,22.0,78.0,85.0,211.0,589.0,0.12444933920704845,0.21530837004405287,0.3397577092511013,0.04515418502202643,0.012114537444933921,0.042951541850220265,0.04680616740088106,0.11618942731277533,0.32433920704845814,0.00028083700440528634,0.00017951541850220264,72
312,2022,Killian Hayes,PG,20.0,DET,66.0,40.0,1647.0,176.0,459.0,0.383,44.0,167.0,0.263,132.0,292.0,0.452,0.431,57.0,74.0,0.77,36.0,174.0,210.0,277.0,78.0,35.0,111.0,183.0,453.0,0.02185792349726776,0.10564663023679417,0.12750455373406194,0.1681845780206436,0.04735883424408015,0.021250758955676987,0.06739526411657559,0.1111111111111111,0.2750455373406193,0.00023254401942926533,0.0001596842744383728,89
421,2022,Cory Joseph,PG,30.0,DET,65.0,39.0,1600.0,178.0,400.0,0.445,65.0,157.0,0.414,113.0,243.0,0.465,0.526,100.0,113.0,0.885,29.0,145.0,174.0,237.0,42.0,17.0,85.0,147.0,521.0,0.018125,0.090625,0.10875,0.148125,0.02625,0.010625,0.053125,0.091875,0.325625,0.000278125,0.00025875,79
273,2022,Jerami Grant,PF,27.0,DET,47.0,47.0,1500.0,298.0,699.0,0.426,91.0,254.0,0.358,207.0,445.0,0.465,0.491,217.0,259.0,0.838,28.0,163.0,191.0,111.0,44.0,49.0,85.0,107.0,904.0,0.018666666666666668,0.10866666666666666,0.12733333333333333,0.074,0.029333333333333333,0.03266666666666666,0.056666666666666664,0.07133333333333333,0.6026666666666667,0.000284,0.00023866666666666665,81
176,2022,Hamidou Diallo,SG,23.0,DET,58.0,29.0,1269.0,261.0,526.0,0.496,23.0,93.0,0.247,238.0,433.0,0.55,0.518,91.0,140.0,0.65,69.0,208.0,277.0,73.0,71.0,17.0,58.0,143.0,636.0,0.054373522458628844,0.16390858944050432,0.21828211189913319,0.05752561071710008,0.05594956658786446,0.013396375098502758,0.045705279747832936,0.11268715524034673,0.5011820330969267,0.0003908589440504334,0.0001946414499605989,73
371,2022,Frank Jackson,PG,23.0,DET,53.0,7.0,1164.0,194.0,483.0,0.402,86.0,279.0,0.308,108.0,204.0,0.529,0.491,86.0,104.0,0.827,19.0,68.0,87.0,55.0,27.0,9.0,38.0,89.0,560.0,0.01632302405498282,0.058419243986254296,0.07474226804123711,0.04725085910652921,0.023195876288659795,0.007731958762886598,0.03264604810996564,0.07646048109965636,0.48109965635738833,0.00034536082474226804,0.00026460481099656357,66
592,2022,Kelly Olynyk,C,30.0,DET,40.0,1.0,764.0,128.0,286.0,0.448,40.0,119.0,0.336,88.0,167.0,0.527,0.517,69.0,89.0,0.775,54.0,123.0,177.0,111.0,31.0,19.0,58.0,100.0,365.0,0.07068062827225131,0.16099476439790575,0.23167539267015708,0.14528795811518325,0.04057591623036649,0.024869109947643978,0.07591623036649214,0.13089005235602094,0.47774869109947643,0.0005863874345549739,0.0004397905759162304,54
517,2022,Rodney McGruder,SG,30.0,DET,51.0,2.0,754.0,98.0,225.0,0.436,58.0,146.0,0.397,40.0,79.0,0.506,0.564,19.0,26.0,0.731,31.0,80.0,111.0,48.0,21.0,7.0,24.0,58.0,273.0,0.04111405835543767,0.10610079575596817,0.14721485411140584,0.0636604774535809,0.027851458885941646,0.009283819628647215,0.03183023872679045,0.07692307692307693,0.3620689655172414,0.0005782493368700265,0.000526525198938992,65
461,2022,Saben Lee,PG,22.0,DET,37.0,0.0,604.0,69.0,177.0,0.39,14.0,60.0,0.233,55.0,117.0,0.47,0.429,56.0,71.0,0.789,18.0,69.0,87.0,107.0,36.0,12.0,36.0,44.0,208.0,0.029801324503311258,0.11423841059602649,0.14403973509933773,0.1771523178807947,0.059602649006622516,0.019867549668874173,0.059602649006622516,0.0728476821192053,0.3443708609271523,0.0006456953642384106,0.0003857615894039735,63
258,2022,Luka Garza,C,23.0,DET,32.0,5.0,389.0,66.0,147.0,0.449,16.0,49.0,0.327,50.0,98.0,0.51,0.503,38.0,61.0,0.623,58.0,42.0,100.0,20.0,9.0,6.0,18.0,55.0,186.0,0.14910025706940874,0.10796915167095116,0.2570694087403599,0.05141388174807198,0.02313624678663239,0.015424164524421594,0.04627249357326478,0.14138817480719795,0.4781491002570694,0.001154241645244216,0.0008406169665809769,54
470,2022,Isaiah Livers,SF,23.0,DET,19.0,5.0,383.0,41.0,90.0,0.456,27.0,64.0,0.422,14.0,26.0,0.538,0.606,12.0,14.0,0.857,15.0,42.0,57.0,21.0,13.0,7.0,15.0,37.0,121.0,0.0391644908616188,0.10966057441253264,0.14882506527415143,0.05483028720626632,0.033942558746736295,0.018276762402088774,0.0391644908616188,0.09660574412532637,0.31592689295039167,0.0011906005221932116,0.001101827676240209,65
612,2022,Jamorko Pickett,PF,24.0,DET,13.0,0.0,176.0,18.0,50.0,0.36,13.0,39.0,0.333,5.0,11.0,0.455,0.49,1.0,2.0,0.5,6.0,26.0,32.0,7.0,0.0,7.0,5.0,12.0,50.0,0.03409090909090909,0.14772727272727273,0.18181818181818182,0.03977272727272727,0.0,0.03977272727272727,0.028409090909090908,0.06818181818181818,0.2840909090909091,0.002045454545454545,0.0018920454545454546,65
719,2022,Cassius Stanley,SG,22.0,DET,9.0,1.0,155.0,19.0,46.0,0.413,4.0,17.0,0.235,15.0,29.0,0.517,0.457,10.0,10.0,1.0,5.0,14.0,19.0,4.0,5.0,2.0,6.0,17.0,52.0,0.03225806451612903,0.09032258064516129,0.12258064516129032,0.025806451612903226,0.03225806451612903,0.012903225806451613,0.03870967741935484,0.10967741935483871,0.33548387096774196,0.002664516129032258,0.0015161290322580644,65
788,2022,Derrick Walton,PG,26.0,DET,3.0,3.0,108.0,6.0,26.0,0.231,3.0,13.0,0.231,3.0,13.0,0.231,0.288,4.0,4.0,1.0,2.0,8.0,10.0,21.0,7.0,4.0,11.0,8.0,19.0,0.018518518518518517,0.07407407407407407,0.09259259259259259,0.19444444444444445,0.06481481481481481,0.037037037037037035,0.10185185185185185,0.07407407407407407,0.17592592592592593,0.002138888888888889,0.002138888888888889,63
208,2022,Carsen Edwards,SG,23.0,DET,4.0,0.0,79.0,9.0,30.0,0.3,4.0,16.0,0.25,5.0,14.0,0.357,0.367,1.0,1.0,1.0,2.0,4.0,6.0,14.0,2.0,0.0,5.0,4.0,23.0,0.02531645569620253,0.05063291139240506,0.0759493670886076,0.17721518987341772,0.02531645569620253,0.0,0.06329113924050633,0.05063291139240506,0.2911392405063291,0.0037974683544303796,0.0031645569620253164,65
626,2022,Micah Potter,C,23.0,DET,3.0,0.0,31.0,5.0,11.0,0.455,0.0,2.0,0.0,5.0,9.0,0.556,0.455,2.0,2.0,1.0,4.0,5.0,9.0,0.0,1.0,1.0,1.0,4.0,12.0,0.12903225806451613,0.16129032258064516,0.2903225806451613,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.12903225806451613,0.3870967741935484,0.01467741935483871,0.0,54
175,2022,Cheick Diallo,C,25.0,DET,3.0,0.0,31.0,3.0,8.0,0.375,0.0,0.0,0.0,3.0,8.0,0.375,0.375,5.0,6.0,0.833,4.0,8.0,12.0,0.0,1.0,0.0,1.0,6.0,11.0,0.12903225806451613,0.25806451612903225,0.3870967741935484,0.0,0.03225806451612903,0.0,0.03225806451612903,0.1935483870967742,0.3548387096774194,0.012096774193548387,0.0,54
700,2022,Deividas Sirvydis,SG,21.0,DET,3.0,0.0,27.0,1.0,10.0,0.1,1.0,7.0,0.143,0.0,3.0,0.0,0.15,0.0,0.0,,0.0,6.0,6.0,1.0,3.0,1.0,0.0,4.0,3.0,0.0,0.2222222222222222,0.2222222222222222,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.0,0.14814814814814814,0.1111111111111111,0.003703703703703704,0.0052962962962962955,65
599,2022,Trayvon Palmer,SG,27.0,DET,1.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,65
