ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
811,2022,Andrew Wiggins,SF,26.0,GSW,73.0,73.0,2329.0,475.0,1019.0,0.466,157.0,399.0,0.393,318.0,620.0,0.513,0.543,149.0,235.0,0.634,85.0,240.0,325.0,161.0,76.0,51.0,111.0,158.0,1256.0,0.0364963503649635,0.10304851867754401,0.1395448690425075,0.0691283812795191,0.032632030914555604,0.021897810218978103,0.0476599398883641,0.0678402747960498,0.5392872477458136,0.00020008587376556464,0.00016874194933447833,91
618,2022,Jordan Poole,SG,22.0,GSW,76.0,51.0,2283.0,474.0,1058.0,0.448,211.0,580.0,0.364,263.0,478.0,0.55,0.548,246.0,266.0,0.925,34.0,226.0,260.0,304.0,60.0,23.0,187.0,206.0,1405.0,0.014892685063512922,0.09899255365746824,0.11388523872098116,0.13315812527376258,0.026281208935611037,0.010074463425317565,0.08190976784932107,0.09023215067893123,0.6154183092422252,0.0001962330267192291,0.00015943933420937363,87
165,2022,Stephen Curry,PG,33.0,GSW,64.0,64.0,2211.0,535.0,1224.0,0.437,285.0,750.0,0.38,250.0,474.0,0.527,0.554,275.0,298.0,0.923,34.0,301.0,335.0,404.0,85.0,23.0,206.0,130.0,1630.0,0.015377657168701944,0.13613749434644956,0.15151515151515152,0.182722749886929,0.03844414292175486,0.010402532790592492,0.09317051108095885,0.05879692446856626,0.7372229760289462,0.00019764812302125735,0.00017186793306196293,100
471,2022,Kevon Looney,C,25.0,GSW,82.0,80.0,1732.0,208.0,364.0,0.571,0.0,1.0,0.0,208.0,363.0,0.573,0.571,75.0,125.0,0.6,208.0,388.0,596.0,165.0,50.0,52.0,67.0,215.0,491.0,0.12009237875288684,0.22401847575057737,0.3441108545034642,0.09526558891454966,0.028868360277136258,0.03002309468822171,0.03868360277136259,0.12413394919168591,0.2834872979214781,0.00032967667436489606,0.0,67
621,2022,Otto Porter Jr.,PF,28.0,GSW,63.0,15.0,1396.0,193.0,416.0,0.464,80.0,216.0,0.37,113.0,200.0,0.565,0.56,49.0,61.0,0.803,86.0,276.0,362.0,94.0,68.0,29.0,37.0,83.0,515.0,0.06160458452722063,0.1977077363896848,0.2593123209169054,0.0673352435530086,0.04871060171919771,0.020773638968481375,0.02650429799426934,0.05945558739255014,0.36891117478510027,0.000332378223495702,0.0002650429799426934,72
276,2022,Draymond Green,PF,31.0,GSW,46.0,44.0,1329.0,135.0,257.0,0.525,16.0,54.0,0.296,119.0,203.0,0.586,0.556,60.0,91.0,0.659,45.0,291.0,336.0,320.0,61.0,50.0,139.0,136.0,346.0,0.033860045146726865,0.21896162528216703,0.2528216704288939,0.24078254326561324,0.04589917231000752,0.03762227238525207,0.10458991723100075,0.10233258088788563,0.26034612490594433,0.00039503386004514674,0.00022272385252069223,67
460,2022,Damion Lee,SG,29.0,GSW,63.0,5.0,1256.0,169.0,383.0,0.441,63.0,187.0,0.337,106.0,196.0,0.541,0.523,66.0,75.0,0.88,27.0,176.0,203.0,63.0,39.0,6.0,38.0,95.0,467.0,0.021496815286624203,0.14012738853503184,0.16162420382165604,0.05015923566878981,0.03105095541401274,0.004777070063694267,0.030254777070063694,0.07563694267515923,0.3718152866242038,0.00035111464968152865,0.000268312101910828,65
607,2022,Gary Payton II,SG,29.0,GSW,71.0,16.0,1247.0,212.0,344.0,0.616,43.0,120.0,0.358,169.0,224.0,0.754,0.679,35.0,58.0,0.603,72.0,175.0,247.0,64.0,96.0,22.0,40.0,131.0,502.0,0.057738572574178026,0.14033680834001605,0.19807538091419408,0.05132317562149158,0.07698476343223737,0.01764234161988773,0.03207698476343224,0.10505212510024058,0.4025661587810746,0.0004939855653568564,0.0002870890136327185,71
447,2022,Jonathan Kuminga,SF,19.0,GSW,70.0,12.0,1185.0,236.0,460.0,0.513,50.0,149.0,0.336,186.0,311.0,0.598,0.567,130.0,190.0,0.684,54.0,180.0,234.0,64.0,31.0,22.0,74.0,146.0,652.0,0.04556962025316456,0.1518987341772152,0.19746835443037974,0.0540084388185654,0.026160337552742614,0.018565400843881856,0.06244725738396625,0.12320675105485232,0.550210970464135,0.0004329113924050633,0.00028354430379746835,76
64,2022,Nemanja Bjelica,C,33.0,GSW,71.0,0.0,1142.0,160.0,342.0,0.468,54.0,149.0,0.362,106.0,193.0,0.549,0.547,59.0,81.0,0.728,62.0,232.0,294.0,159.0,41.0,26.0,87.0,128.0,433.0,0.0542907180385289,0.2031523642732049,0.2574430823117338,0.13922942206654992,0.03590192644483362,0.02276707530647986,0.07618213660245184,0.11208406304728546,0.37915936952714535,0.0004098073555166375,0.0003169877408056042,69
