ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
277,2022,Jalen Green,SG,19.0,HOU,67.0,67.0,2138.0,406.0,954.0,0.426,157.0,458.0,0.343,249.0,496.0,0.502,0.508,188.0,236.0,0.797,33.0,193.0,226.0,176.0,44.0,18.0,135.0,103.0,1157.0,0.015434985968194575,0.09027128157156221,0.10570626753975679,0.0823199251637044,0.0205799812909261,0.00841908325537886,0.06314312441534144,0.04817586529466791,0.5411599625818522,0.00019925163704396633,0.00016043030869971939,83
826,2022,Christian Wood,C,26.0,HOU,68.0,67.0,2094.0,440.0,878.0,0.501,131.0,336.0,0.39,309.0,542.0,0.57,0.576,207.0,332.0,0.623,110.0,576.0,686.0,155.0,54.0,65.0,126.0,171.0,1218.0,0.05253104106972302,0.27507163323782235,0.32760267430754536,0.07402101241642789,0.025787965616045846,0.031041069723018146,0.06017191977077364,0.08166189111747851,0.5816618911174785,0.00023925501432664757,0.00018624641833810888,82
733,2022,Jae'Sean Tate,PF,26.0,HOU,78.0,77.0,2056.0,363.0,729.0,0.498,63.0,202.0,0.312,300.0,527.0,0.569,0.541,130.0,184.0,0.707,135.0,285.0,420.0,222.0,72.0,41.0,139.0,286.0,919.0,0.06566147859922179,0.13861867704280156,0.20428015564202334,0.10797665369649806,0.03501945525291829,0.019941634241245135,0.06760700389105058,0.13910505836575876,0.4469844357976654,0.00024221789883268482,0.0001517509727626459,82
619,2022,Kevin Porter Jr.,PG,21.0,HOU,61.0,61.0,1907.0,335.0,808.0,0.415,155.0,413.0,0.375,180.0,395.0,0.456,0.511,124.0,193.0,0.642,43.0,224.0,267.0,376.0,69.0,22.0,192.0,156.0,949.0,0.022548505506030415,0.11746198217094914,0.14001048767697954,0.19716832721552177,0.03618248557944415,0.011536444677503933,0.10068169900367069,0.08180388044048244,0.4976402726796015,0.00021761929732564236,0.0001966439433665443,96
498,2022,Garrison Mathews,SG,25.0,HOU,65.0,33.0,1712.0,184.0,461.0,0.399,139.0,386.0,0.36,45.0,75.0,0.6,0.55,143.0,180.0,0.794,32.0,158.0,190.0,64.0,57.0,24.0,41.0,168.0,650.0,0.018691588785046728,0.09228971962616822,0.11098130841121495,0.037383177570093455,0.03329439252336448,0.014018691588785047,0.02394859813084112,0.09813084112149532,0.3796728971962617,0.00023306074766355143,0.0002102803738317757,66
270,2022,Eric Gordon,SG,33.0,HOU,57.0,46.0,1669.0,268.0,564.0,0.475,124.0,301.0,0.412,144.0,263.0,0.548,0.585,105.0,135.0,0.778,15.0,98.0,113.0,154.0,28.0,18.0,107.0,63.0,765.0,0.008987417615338526,0.05871779508687837,0.0677052127022169,0.09227082085080887,0.016776512881965248,0.01078490113840623,0.06411024565608149,0.037747153984421807,0.45835829838226483,0.0002846015578190533,0.0002468544038346315,69
497,2022,Kenyon Martin Jr.,SF,21.0,HOU,79.0,2.0,1656.0,279.0,523.0,0.533,60.0,168.0,0.357,219.0,355.0,0.617,0.591,78.0,123.0,0.634,80.0,217.0,297.0,101.0,34.0,40.0,60.0,113.0,696.0,0.04830917874396135,0.13103864734299517,0.1793478260869565,0.06099033816425121,0.020531400966183576,0.024154589371980676,0.036231884057971016,0.06823671497584541,0.42028985507246375,0.0003218599033816425,0.00021557971014492754,71
687,2022,Alperen Şengün,C,19.0,HOU,72.0,13.0,1489.0,249.0,525.0,0.474,29.0,117.0,0.248,220.0,408.0,0.539,0.502,165.0,232.0,0.711,138.0,255.0,393.0,185.0,59.0,68.0,145.0,214.0,692.0,0.09267965077233042,0.1712558764271323,0.2639355271994627,0.12424445936870383,0.039623908663532575,0.04566823371390195,0.09738079247817327,0.14372061786433848,0.46474143720617866,0.0003183344526527871,0.00016655473472128944,74
134,2022,Josh Christopher,SG,20.0,HOU,74.0,2.0,1334.0,224.0,500.0,0.448,56.0,189.0,0.296,168.0,311.0,0.54,0.504,83.0,113.0,0.735,52.0,134.0,186.0,150.0,65.0,13.0,114.0,97.0,587.0,0.038980509745127435,0.10044977511244378,0.13943028485757122,0.11244377811094453,0.04872563718140929,0.009745127436281859,0.08545727136431784,0.0727136431784108,0.44002998500749624,0.000335832083958021,0.00022188905547226387,68
578,2022,David Nwaba,SF,29.0,HOU,46.0,4.0,609.0,85.0,176.0,0.483,15.0,49.0,0.306,70.0,127.0,0.551,0.526,48.0,67.0,0.716,41.0,110.0,151.0,35.0,28.0,20.0,21.0,55.0,233.0,0.06732348111658457,0.180623973727422,0.24794745484400657,0.05747126436781609,0.04597701149425287,0.03284072249589491,0.034482758620689655,0.090311986863711,0.3825944170771757,0.000793103448275862,0.0005024630541871921,66
572,2022,Daishen Nix,SG,19.0,HOU,24.0,0.0,261.0,27.0,67.0,0.403,7.0,26.0,0.269,20.0,41.0,0.488,0.455,16.0,30.0,0.533,7.0,26.0,33.0,40.0,15.0,0.0,26.0,21.0,77.0,0.02681992337164751,0.09961685823754789,0.12643678160919541,0.1532567049808429,0.05747126436781609,0.0,0.09961685823754789,0.08045977011494253,0.2950191570881226,0.0015440613026819925,0.0010306513409961686,65
257,2022,Usman Garuba,PF,19.0,HOU,24.0,2.0,239.0,19.0,44.0,0.432,5.0,20.0,0.25,14.0,24.0,0.583,0.489,5.0,7.0,0.714,21.0,62.0,83.0,17.0,10.0,11.0,6.0,28.0,48.0,0.08786610878661087,0.2594142259414226,0.3472803347280335,0.07112970711297072,0.04184100418410042,0.04602510460251046,0.02510460251046025,0.11715481171548117,0.200836820083682,0.001807531380753138,0.0010460251046025104,66
636,2022,Trevelin Queen,SG,24.0,HOU,10.0,0.0,74.0,15.0,33.0,0.455,9.0,24.0,0.375,6.0,9.0,0.667,0.591,4.0,4.0,1.0,7.0,9.0,16.0,4.0,5.0,1.0,7.0,6.0,43.0,0.0945945945945946,0.12162162162162163,0.21621621621621623,0.05405405405405406,0.06756756756756757,0.013513513513513514,0.0945945945945946,0.08108108108108109,0.581081081081081,0.006148648648648649,0.005067567567567568,66
