ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
802,2022,Russell Westbrook,PG,33.0,LAL,78.0,78.0,2678.0,548.0,1233.0,0.444,79.0,265.0,0.298,469.0,968.0,0.485,0.476,266.0,399.0,0.667,110.0,470.0,580.0,550.0,75.0,20.0,295.0,235.0,1441.0,0.041075429424943986,0.1755041075429425,0.21657953696788648,0.20537714712471994,0.028005974607916356,0.0074682598954443615,0.11015683345780433,0.08775205377147124,0.5380881254667662,0.00016579536967886483,0.00011127707244212099,100
536,2022,Malik Monk,SG,23.0,LAL,76.0,37.0,2139.0,391.0,826.0,0.473,173.0,442.0,0.391,218.0,384.0,0.568,0.578,93.0,117.0,0.795,37.0,219.0,256.0,218.0,61.0,29.0,122.0,138.0,1048.0,0.01729780271154745,0.10238429172510519,0.11968209443665265,0.10191678354371202,0.02851799906498364,0.013557737260402058,0.05703599812996728,0.06451612903225806,0.4899485741000468,0.00022113136979897148,0.0001827956989247312,85
381,2022,LeBron James,C,37.0,LAL,56.0,56.0,2084.0,640.0,1221.0,0.524,161.0,448.0,0.359,479.0,773.0,0.62,0.59,254.0,336.0,0.756,63.0,396.0,459.0,349.0,73.0,59.0,196.0,121.0,1695.0,0.030230326295585412,0.19001919385796545,0.22024952015355087,0.16746641074856047,0.03502879078694818,0.02831094049904031,0.09404990403071017,0.058061420345489445,0.8133397312859885,0.00025143953934740886,0.00017226487523992322,88
17,2022,Carmelo Anthony,PF,37.0,LAL,69.0,3.0,1793.0,319.0,723.0,0.441,149.0,397.0,0.375,170.0,326.0,0.521,0.544,132.0,159.0,0.83,62.0,226.0,288.0,68.0,47.0,52.0,59.0,166.0,919.0,0.03457891801450084,0.1260457334076966,0.16062465142219742,0.03792526491912995,0.026213050752928055,0.029001673173452314,0.03290574456218628,0.09258226436140547,0.5125488008923592,0.00024595649749023984,0.0002091466815393196,74
346,2022,Talen Horton-Tucker,SG,21.0,LAL,60.0,19.0,1511.0,224.0,538.0,0.416,49.0,182.0,0.269,175.0,356.0,0.492,0.462,100.0,125.0,0.8,37.0,156.0,193.0,159.0,59.0,29.0,82.0,148.0,597.0,0.024487094639311716,0.10324288550628723,0.12772998014559894,0.10522832561217736,0.039046988749172735,0.019192587690271344,0.054268696227663796,0.09794837855724686,0.39510258107213764,0.0002753143613500993,0.00017802779616148248,71
641,2022,Austin Reaves,SG,23.0,LAL,61.0,19.0,1418.0,146.0,318.0,0.459,53.0,167.0,0.317,93.0,151.0,0.616,0.542,99.0,118.0,0.839,45.0,148.0,193.0,110.0,29.0,20.0,40.0,87.0,444.0,0.03173483779971791,0.10437235543018336,0.13610719322990128,0.07757404795486601,0.020451339915373765,0.014104372355430184,0.028208744710860368,0.0613540197461213,0.3131170662905501,0.0003236953455571227,0.00022355430183356841,69
77,2022,Avery Bradley,SG,31.0,LAL,62.0,45.0,1406.0,148.0,350.0,0.423,82.0,210.0,0.39,66.0,140.0,0.471,0.54,16.0,18.0,0.889,31.0,105.0,136.0,47.0,53.0,9.0,38.0,118.0,394.0,0.022048364153627313,0.07467994310099574,0.09672830725462304,0.033428165007112376,0.03769559032716927,0.006401137980085348,0.02702702702702703,0.08392603129445235,0.2802275960170697,0.0003008534850640114,0.00027738264580369845,66
166,2022,Anthony Davis,C,28.0,LAL,40.0,40.0,1404.0,370.0,695.0,0.532,13.0,70.0,0.186,357.0,625.0,0.571,0.542,174.0,244.0,0.713,106.0,288.0,394.0,122.0,49.0,90.0,82.0,97.0,927.0,0.0754985754985755,0.20512820512820512,0.28062678062678065,0.0868945868945869,0.0349002849002849,0.0641025641025641,0.0584045584045584,0.06908831908831908,0.6602564102564102,0.00037891737891737896,0.00013247863247863248,84
401,2022,Stanley Johnson,PF,25.0,LAL,48.0,27.0,1094.0,117.0,251.0,0.466,33.0,105.0,0.314,84.0,146.0,0.575,0.532,53.0,74.0,0.716,34.0,121.0,155.0,80.0,43.0,14.0,35.0,109.0,320.0,0.031078610603290677,0.11060329067641682,0.1416819012797075,0.07312614259597806,0.03930530164533821,0.012797074954296161,0.031992687385740404,0.09963436928702012,0.29250457038391225,0.0004259597806215722,0.0002870201096892139,66
351,2022,Dwight Howard,C,36.0,LAL,60.0,27.0,971.0,134.0,219.0,0.612,8.0,15.0,0.533,126.0,204.0,0.618,0.63,96.0,146.0,0.658,118.0,238.0,356.0,35.0,34.0,36.0,47.0,115.0,372.0,0.121524201853759,0.2451081359423275,0.3666323377960865,0.03604531410916581,0.035015447991761074,0.037075180226570546,0.04840370751802266,0.1184346035015448,0.3831101956745623,0.0006302780638516993,0.000548918640576725,54
