ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
36,2022,Desmond Bane,SG,23.0,MEM,76.0,76.0,2266.0,508.0,1101.0,0.461,228.0,523.0,0.436,280.0,578.0,0.484,0.565,140.0,155.0,0.903,46.0,288.0,334.0,208.0,92.0,29.0,111.0,196.0,1384.0,0.02030008826125331,0.12709620476610767,0.147396293027361,0.09179170344218888,0.04060017652250662,0.012797881729920565,0.048984995586937335,0.08649602824360106,0.6107678729037952,0.0002034421888790821,0.00019240953221535744,88
373,2022,Jaren Jackson Jr.,PF,22.0,MEM,78.0,78.0,2126.0,430.0,1036.0,0.415,128.0,401.0,0.319,302.0,635.0,0.476,0.477,284.0,345.0,0.823,119.0,335.0,454.0,86.0,73.0,177.0,130.0,272.0,1272.0,0.055973659454374415,0.15757290686735653,0.21354656632173094,0.04045155221072436,0.03433678269049859,0.0832549388523048,0.06114769520225776,0.1279397930385701,0.5983066792097836,0.0001952022577610536,0.00015004703668861712,100
1,2022,Steven Adams,C,28.0,MEM,76.0,75.0,1999.0,210.0,384.0,0.547,0.0,1.0,0.0,210.0,383.0,0.548,0.547,108.0,199.0,0.543,349.0,411.0,760.0,256.0,65.0,60.0,115.0,153.0,528.0,0.1745872936468234,0.20560280140070036,0.38019009504752377,0.128064032016008,0.03251625812906453,0.030015007503751877,0.057528764382191094,0.07653826913456728,0.26413206603301653,0.0002736368184092046,0.0,76
545,2022,Ja Morant,PG,22.0,MEM,57.0,57.0,1889.0,580.0,1177.0,0.493,88.0,256.0,0.344,492.0,921.0,0.534,0.53,316.0,415.0,0.761,77.0,248.0,325.0,384.0,66.0,22.0,196.0,86.0,1564.0,0.04076230809952356,0.131286394917946,0.17204870301746955,0.20328215987294865,0.03493912122816305,0.011646373742721016,0.10375860243515088,0.04552673372154579,0.8279512969825304,0.0002609846479618846,0.00018210693488618314,100
522,2022,De'Anthony Melton,SG,23.0,MEM,73.0,15.0,1657.0,281.0,695.0,0.404,139.0,372.0,0.374,142.0,323.0,0.44,0.504,90.0,120.0,0.75,64.0,264.0,328.0,194.0,104.0,39.0,112.0,128.0,791.0,0.03862401931200966,0.15932407966203982,0.1979480989740495,0.11707905853952927,0.0627640313820157,0.023536511768255886,0.0675920337960169,0.07724803862401931,0.47736873868436935,0.00024381412190706096,0.00022570911285455642,79
416,2022,Tyus Jones,PG,25.0,MEM,73.0,23.0,1549.0,249.0,552.0,0.451,80.0,205.0,0.39,169.0,347.0,0.487,0.524,54.0,66.0,0.818,17.0,159.0,176.0,324.0,66.0,2.0,46.0,32.0,632.0,0.010974822466107165,0.10264686894770819,0.11362169141381537,0.2091672046481601,0.04260813428018076,0.0012911555842479018,0.029696578437701744,0.02065848934796643,0.408005164622337,0.0002911555842479019,0.0002517753389283409,72
14,2022,Kyle Anderson,PF,28.0,MEM,69.0,11.0,1484.0,209.0,469.0,0.446,36.0,109.0,0.33,173.0,360.0,0.481,0.484,67.0,105.0,0.638,69.0,299.0,368.0,183.0,77.0,45.0,71.0,108.0,521.0,0.04649595687331536,0.20148247978436656,0.24797843665768193,0.12331536388140162,0.05188679245283019,0.03032345013477089,0.04784366576819407,0.07277628032345014,0.35107816711590295,0.00030053908355795147,0.00022237196765498654,76
819,2022,Ziaire Williams,SF,20.0,MEM,62.0,31.0,1346.0,191.0,424.0,0.45,76.0,242.0,0.314,115.0,182.0,0.632,0.54,43.0,55.0,0.782,26.0,103.0,129.0,65.0,35.0,12.0,41.0,113.0,501.0,0.019316493313521546,0.07652303120356613,0.09583952451708767,0.048291233283803865,0.02600297176820208,0.008915304606240713,0.030460624071322436,0.08395245170876671,0.3722139673105498,0.00033432392273402675,0.00023328380386329866,64
439,2022,John Konchar,SG,25.0,MEM,72.0,7.0,1292.0,135.0,262.0,0.515,52.0,126.0,0.413,83.0,136.0,0.61,0.615,27.0,49.0,0.551,87.0,242.0,329.0,109.0,45.0,22.0,29.0,90.0,349.0,0.0673374613003096,0.1873065015479876,0.2546439628482972,0.08436532507739938,0.0348297213622291,0.017027863777089782,0.02244582043343653,0.0696594427244582,0.27012383900928794,0.00039860681114551087,0.0003196594427244582,66
136,2022,Brandon Clarke,PF,25.0,MEM,64.0,1.0,1246.0,288.0,447.0,0.644,5.0,22.0,0.227,283.0,425.0,0.666,0.65,85.0,130.0,0.654,135.0,207.0,342.0,86.0,39.0,68.0,34.0,122.0,666.0,0.10834670947030497,0.16613162118780098,0.27447833065810595,0.06902086677367576,0.03130016051364366,0.05457463884430177,0.027287319422150885,0.09791332263242375,0.5345104333868379,0.0005168539325842696,0.00018218298555377208,78
