ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
320,2022,Tyler Herro,SG,22.0,MIA,66.0,10.0,2151.0,501.0,1122.0,0.447,175.0,439.0,0.399,326.0,683.0,0.477,0.525,190.0,219.0,0.868,32.0,297.0,329.0,263.0,44.0,8.0,174.0,95.0,1367.0,0.014876801487680148,0.13807531380753138,0.15295211529521152,0.12226871222687122,0.020455602045560205,0.003719200371920037,0.08089260808926081,0.04416550441655044,0.6355183635518363,0.00020781032078103209,0.00018549511854951185,89
478,2022,Kyle Lowry,PG,35.0,MIA,63.0,63.0,2133.0,276.0,627.0,0.44,144.0,382.0,0.377,132.0,245.0,0.539,0.555,148.0,174.0,0.851,33.0,249.0,282.0,474.0,67.0,17.0,168.0,177.0,844.0,0.015471167369901548,0.11673699015471167,0.13220815752461323,0.2222222222222222,0.031411157993436474,0.007969995311767463,0.07876230661040788,0.0829817158931083,0.3956868260665729,0.0002062822315986873,0.00017674636661978434,91
653,2022,Duncan Robinson,SG,27.0,MIA,79.0,68.0,2043.0,290.0,726.0,0.399,232.0,624.0,0.372,58.0,102.0,0.569,0.559,51.0,61.0,0.836,24.0,179.0,203.0,129.0,42.0,14.0,60.0,201.0,863.0,0.011747430249632892,0.08761625061184533,0.09936368086147822,0.0631424375917768,0.020558002936857563,0.006852667645619187,0.02936857562408223,0.09838472834067548,0.4224180127263828,0.00019530102790014687,0.00018208516886930983,66
765,2022,P.J. Tucker,PF,36.0,MIA,71.0,70.0,1981.0,207.0,428.0,0.484,80.0,193.0,0.415,127.0,235.0,0.54,0.577,45.0,61.0,0.738,100.0,287.0,387.0,149.0,58.0,15.0,66.0,161.0,539.0,0.05047955577990914,0.14487632508833923,0.19535588086824837,0.07521453811206462,0.0292781423523473,0.00757193336698637,0.03331650681474003,0.0812720848056537,0.27208480565371024,0.0002443210499747602,0.0002094901564866229,77
110,2022,Jimmy Butler,SF,32.0,MIA,57.0,57.0,1931.0,398.0,829.0,0.48,27.0,116.0,0.233,371.0,713.0,0.52,0.496,396.0,455.0,0.87,102.0,234.0,336.0,312.0,94.0,27.0,121.0,88.0,1219.0,0.05282237182806836,0.12118073537027448,0.17400310719834283,0.16157431382703263,0.04867944070429829,0.013982392542723977,0.06266183324702226,0.04557224236147074,0.631279129984464,0.000248575867426204,0.00012066286897980321,98
2,2022,Bam Adebayo,C,24.0,MIA,56.0,56.0,1825.0,406.0,729.0,0.557,0.0,6.0,0.0,406.0,723.0,0.562,0.557,256.0,340.0,0.753,137.0,427.0,564.0,190.0,80.0,44.0,148.0,171.0,1068.0,0.07506849315068494,0.23397260273972603,0.30904109589041096,0.10410958904109589,0.043835616438356165,0.02410958904109589,0.08109589041095891,0.0936986301369863,0.5852054794520548,0.00030520547945205484,0.0,84
777,2022,Gabe Vincent,PG,25.0,MIA,68.0,27.0,1589.0,214.0,513.0,0.417,119.0,323.0,0.368,95.0,190.0,0.5,0.533,44.0,54.0,0.815,22.0,104.0,126.0,210.0,62.0,12.0,98.0,158.0,591.0,0.013845185651353053,0.06544996853366897,0.07929515418502203,0.13215859030837004,0.03901825047199497,0.007551919446192574,0.06167400881057269,0.09943360604153556,0.37193203272498426,0.00026242920075519193,0.0002315921963499056,78
729,2022,Max Strus,SF,25.0,MIA,68.0,16.0,1587.0,249.0,564.0,0.441,181.0,442.0,0.41,68.0,122.0,0.557,0.602,42.0,53.0,0.792,24.0,178.0,202.0,92.0,28.0,16.0,57.0,116.0,721.0,0.015122873345935728,0.11216131064902331,0.12728418399495905,0.057971014492753624,0.017643352236925015,0.010081915563957152,0.035916824196597356,0.07309388783868935,0.4543163201008192,0.000277882797731569,0.000258349086326402,72
492,2022,Caleb Martin,SF,26.0,MIA,60.0,12.0,1372.0,208.0,410.0,0.507,64.0,155.0,0.413,144.0,255.0,0.565,0.585,71.0,93.0,0.763,70.0,160.0,230.0,64.0,58.0,30.0,52.0,104.0,551.0,0.05102040816326531,0.11661807580174927,0.16763848396501457,0.04664723032069971,0.04227405247813411,0.021865889212827987,0.037900874635568516,0.07580174927113703,0.40160349854227406,0.000369533527696793,0.00030102040816326527,76
170,2022,Dewayne Dedmon,C,32.0,MIA,67.0,15.0,1065.0,164.0,290.0,0.566,19.0,47.0,0.404,145.0,243.0,0.597,0.598,75.0,100.0,0.75,105.0,281.0,386.0,47.0,24.0,42.0,70.0,174.0,422.0,0.09859154929577464,0.26384976525821596,0.3624413145539906,0.044131455399061034,0.022535211267605635,0.03943661971830986,0.06572769953051644,0.16338028169014085,0.39624413145539905,0.0005314553990610328,0.00037934272300469487,72
