ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
336,2022,Jrue Holiday,PG,31.0,MIL,67.0,64.0,2207.0,478.0,954.0,0.501,132.0,321.0,0.411,346.0,633.0,0.547,0.57,137.0,180.0,0.761,69.0,232.0,301.0,457.0,108.0,29.0,183.0,133.0,1225.0,0.031264159492523785,0.10512007249660173,0.1363842319891255,0.20706841866787495,0.04893520616221115,0.013140009062075216,0.08291798821930221,0.060262800181241506,0.5550521069324875,0.00022700498414136838,0.00018622564567285908,100
15,2022,Giannis Antetokounmpo,PF,27.0,MIL,67.0,67.0,2204.0,689.0,1245.0,0.553,71.0,242.0,0.293,618.0,1003.0,0.616,0.582,553.0,766.0,0.722,134.0,644.0,778.0,388.0,72.0,91.0,219.0,212.0,2002.0,0.060798548094373864,0.29219600725952816,0.352994555353902,0.17604355716878403,0.032667876588021776,0.04128856624319419,0.09936479128856625,0.09618874773139746,0.9083484573502723,0.00025090744101633394,0.00013294010889292195,100
525,2022,Khris Middleton,SF,30.0,MIL,66.0,66.0,2141.0,452.0,1021.0,0.443,162.0,434.0,0.373,290.0,587.0,0.494,0.522,259.0,291.0,0.89,41.0,315.0,356.0,358.0,76.0,18.0,190.0,160.0,1325.0,0.01914992993928071,0.14712751050910788,0.1662774404483886,0.16721158337225595,0.03549743110695937,0.008407286314806165,0.08874357776739841,0.07473143390938813,0.6188696870621205,0.0002069126576366184,0.0001742176553012611,99
622,2022,Bobby Portis,C,26.0,MIL,72.0,59.0,2028.0,417.0,871.0,0.479,133.0,338.0,0.393,284.0,533.0,0.533,0.555,85.0,113.0,0.752,180.0,477.0,657.0,86.0,53.0,51.0,90.0,174.0,1052.0,0.08875739644970414,0.23520710059171598,0.3239644970414201,0.04240631163708087,0.026134122287968443,0.02514792899408284,0.04437869822485207,0.08579881656804733,0.5187376725838264,0.00023619329388560156,0.0001937869822485207,77
8,2022,Grayson Allen,SG,26.0,MIL,66.0,61.0,1805.0,255.0,569.0,0.448,159.0,389.0,0.409,96.0,180.0,0.533,0.588,64.0,74.0,0.865,32.0,190.0,222.0,100.0,46.0,18.0,43.0,96.0,733.0,0.01772853185595568,0.10526315789473684,0.12299168975069252,0.055401662049861494,0.02548476454293629,0.009972299168975069,0.023822714681440444,0.05318559556786703,0.40609418282548476,0.0002481994459833795,0.0002265927977839335,71
144,2022,Pat Connaughton,SF,29.0,MIL,65.0,19.0,1691.0,227.0,496.0,0.458,146.0,370.0,0.395,81.0,126.0,0.643,0.605,45.0,54.0,0.833,45.0,228.0,273.0,82.0,59.0,15.0,35.0,86.0,645.0,0.026611472501478415,0.1348314606741573,0.1614429331756357,0.04849201655824956,0.03489059727971614,0.008870490833826138,0.02069781194559432,0.0508574807806032,0.38143110585452394,0.00027084565345949146,0.00023358959195742164,72
325,2022,George Hill,PG,35.0,MIL,54.0,17.0,1253.0,118.0,275.0,0.429,41.0,134.0,0.306,77.0,141.0,0.546,0.504,57.0,62.0,0.919,38.0,117.0,155.0,120.0,42.0,6.0,41.0,70.0,334.0,0.030327214684756583,0.09337589784517158,0.12370311252992817,0.09577015163607343,0.0335195530726257,0.004788507581803671,0.03272146847565842,0.055865921787709494,0.266560255387071,0.0003423782920989625,0.0002442138866719872,63
579,2022,Jordan Nwora,SF,23.0,MIL,62.0,13.0,1185.0,186.0,462.0,0.403,79.0,227.0,0.348,107.0,235.0,0.455,0.488,36.0,43.0,0.837,37.0,184.0,221.0,59.0,25.0,17.0,57.0,78.0,487.0,0.031223628691983123,0.15527426160337554,0.18649789029535865,0.049789029535864976,0.02109704641350211,0.014345991561181435,0.04810126582278481,0.06582278481012659,0.4109704641350211,0.000340084388185654,0.0002936708860759493,70
500,2022,Wesley Matthews,SG,35.0,MIL,49.0,14.0,1002.0,87.0,220.0,0.395,53.0,157.0,0.338,34.0,63.0,0.54,0.516,22.0,28.0,0.786,30.0,62.0,92.0,36.0,23.0,8.0,18.0,87.0,249.0,0.029940119760479042,0.06187624750499002,0.09181636726546906,0.03592814371257485,0.022954091816367265,0.007984031936127744,0.017964071856287425,0.08682634730538923,0.24850299401197604,0.0003942115768463074,0.00033732534930139724,66
16,2022,Thanasis Antetokounmpo,SF,29.0,MIL,48.0,6.0,473.0,70.0,128.0,0.547,2.0,14.0,0.143,68.0,114.0,0.596,0.555,29.0,46.0,0.63,40.0,61.0,101.0,22.0,16.0,12.0,26.0,68.0,171.0,0.08456659619450317,0.12896405919661733,0.2135306553911205,0.046511627906976744,0.03382663847780127,0.02536997885835095,0.05496828752642706,0.14376321353065538,0.36152219873150104,0.001156448202959831,0.0003023255813953488,66
