ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
763,2022,Karl-Anthony Towns,C,26.0,MIN,74.0,74.0,2476.0,642.0,1214.0,0.529,150.0,366.0,0.41,492.0,848.0,0.58,0.591,384.0,467.0,0.822,194.0,533.0,727.0,269.0,72.0,83.0,226.0,267.0,1818.0,0.07835218093699516,0.2152665589660743,0.29361873990306947,0.10864297253634896,0.029079159935379646,0.033521809369951534,0.0912762520193861,0.10783521809369952,0.7342487883683361,0.00021365105008077544,0.00016558966074313406,88
207,2022,Anthony Edwards,SG,20.0,MIN,72.0,72.0,2466.0,549.0,1245.0,0.441,215.0,602.0,0.357,334.0,643.0,0.519,0.527,220.0,280.0,0.786,62.0,281.0,343.0,275.0,105.0,46.0,190.0,164.0,1533.0,0.025141930251419302,0.11394971613949716,0.13909164639091645,0.11151662611516626,0.04257907542579075,0.0186536901865369,0.0770478507704785,0.0665044606650446,0.621654501216545,0.00017883211678832117,0.00014476885644768855,89
669,2022,D'Angelo Russell,PG,25.0,MIN,65.0,65.0,2077.0,401.0,975.0,0.411,176.0,518.0,0.34,225.0,457.0,0.492,0.502,198.0,240.0,0.825,25.0,191.0,216.0,460.0,62.0,22.0,165.0,130.0,1176.0,0.01203659123736158,0.09195955705344247,0.10399614829080404,0.22147327876745307,0.029850746268656716,0.01059220028887819,0.07944150216658642,0.06259027443428021,0.5662012518054886,0.00019788155994222435,0.0001636976408281175,96
51,2022,Malik Beasley,SG,25.0,MIN,79.0,18.0,1976.0,332.0,850.0,0.391,240.0,637.0,0.377,92.0,213.0,0.432,0.532,49.0,60.0,0.817,26.0,201.0,227.0,116.0,43.0,12.0,43.0,88.0,953.0,0.013157894736842105,0.10172064777327935,0.11487854251012146,0.058704453441295545,0.021761133603238867,0.006072874493927126,0.021761133603238867,0.044534412955465584,0.48228744939271256,0.0001978744939271255,0.00019078947368421053,66
774,2022,Jarred Vanderbilt,PF,22.0,MIN,74.0,67.0,1880.0,212.0,361.0,0.587,2.0,14.0,0.143,210.0,347.0,0.605,0.59,86.0,131.0,0.656,215.0,409.0,624.0,94.0,99.0,46.0,73.0,181.0,512.0,0.11436170212765957,0.2175531914893617,0.33191489361702126,0.05,0.052659574468085106,0.02446808510638298,0.038829787234042554,0.09627659574468085,0.2723404255319149,0.0003122340425531915,7.606382978723404e-05,80
512,2022,Jaden McDaniels,PF,21.0,MIN,70.0,31.0,1803.0,255.0,554.0,0.46,80.0,252.0,0.317,175.0,302.0,0.579,0.532,57.0,71.0,0.803,76.0,217.0,293.0,79.0,52.0,54.0,75.0,224.0,647.0,0.04215196894065446,0.12035496394897394,0.1625069328896284,0.043815862451469775,0.028840820854132,0.029950083194675542,0.04159733777038269,0.12423738214087632,0.35884636716583473,0.0002551303383250139,0.00017581808097615086,75
59,2022,Patrick Beverley,PG,33.0,MIN,58.0,54.0,1476.0,177.0,436.0,0.406,83.0,242.0,0.343,94.0,194.0,0.485,0.501,96.0,133.0,0.722,62.0,178.0,240.0,268.0,67.0,52.0,73.0,174.0,533.0,0.04200542005420054,0.12059620596205962,0.16260162601626016,0.18157181571815717,0.04539295392953929,0.03523035230352303,0.0494579945799458,0.11788617886178862,0.3611111111111111,0.0002750677506775068,0.0002323848238482385,98
647,2022,Naz Reid,C,22.0,MIN,77.0,6.0,1215.0,233.0,476.0,0.489,57.0,166.0,0.343,176.0,310.0,0.568,0.549,114.0,149.0,0.765,102.0,199.0,301.0,71.0,40.0,71.0,82.0,172.0,637.0,0.08395061728395062,0.16378600823045267,0.24773662551440329,0.05843621399176955,0.03292181069958848,0.05843621399176955,0.06748971193415639,0.14156378600823044,0.5242798353909465,0.0004024691358024691,0.0002823045267489712,70
634,2022,Taurean Prince,PF,27.0,MIN,69.0,8.0,1177.0,177.0,390.0,0.454,86.0,229.0,0.376,91.0,161.0,0.565,0.564,62.0,82.0,0.756,26.0,148.0,174.0,68.0,47.0,23.0,53.0,116.0,502.0,0.022090059473237042,0.12574341546304163,0.14783347493627869,0.05777400169923534,0.03993203058623619,0.01954120645709431,0.045029736618521665,0.09855564995751911,0.42650807136788443,0.0003857264231096007,0.0003194562446898895,70
575,2022,Jaylen Nowell,SG,22.0,MIN,62.0,1.0,975.0,196.0,413.0,0.475,63.0,160.0,0.394,133.0,253.0,0.526,0.551,72.0,92.0,0.783,22.0,101.0,123.0,130.0,27.0,10.0,36.0,73.0,527.0,0.022564102564102566,0.10358974358974359,0.12615384615384614,0.13333333333333333,0.027692307692307693,0.010256410256410256,0.036923076923076927,0.07487179487179488,0.5405128205128205,0.00048717948717948715,0.0004041025641025641,67
