ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
640,2022,Julius Randle,PF,27.0,NYK,72.0,72.0,2544.0,512.0,1246.0,0.411,120.0,390.0,0.308,392.0,856.0,0.458,0.459,303.0,401.0,0.756,125.0,591.0,716.0,370.0,53.0,39.0,245.0,205.0,1447.0,0.049135220125786166,0.23231132075471697,0.28144654088050314,0.14544025157232704,0.020833333333333332,0.015330188679245283,0.09630503144654089,0.0805817610062893,0.5687893081761006,0.0001615566037735849,0.0001210691823899371,100
41,2022,RJ Barrett,SF,21.0,NYK,70.0,70.0,2417.0,487.0,1194.0,0.408,138.0,404.0,0.342,349.0,790.0,0.442,0.466,290.0,406.0,0.714,66.0,342.0,408.0,208.0,43.0,16.0,151.0,142.0,1402.0,0.0273065784029789,0.14149772445179976,0.16880430285477865,0.0860570955730244,0.01779064956557716,0.006619776582540339,0.06247414149772445,0.05875051717004551,0.5800579230450972,0.00016880430285477863,0.00014149772445179977,92
237,2022,Evan Fournier,SG,29.0,NYK,80.0,80.0,2358.0,402.0,965.0,0.417,241.0,619.0,0.389,161.0,346.0,0.465,0.541,80.0,113.0,0.708,34.0,176.0,210.0,171.0,79.0,20.0,105.0,180.0,1125.0,0.01441899915182358,0.07463952502120441,0.089058524173028,0.07251908396946564,0.033502968617472435,0.008481764206955046,0.044529262086514,0.07633587786259542,0.4770992366412214,0.0001768447837150127,0.00016497031382527565,81
108,2022,Alec Burks,SG,30.0,NYK,81.0,44.0,2318.0,285.0,728.0,0.391,157.0,389.0,0.404,128.0,339.0,0.378,0.499,217.0,264.0,0.822,47.0,350.0,397.0,239.0,85.0,26.0,91.0,215.0,944.0,0.020276100086281276,0.15099223468507333,0.1712683347713546,0.10310612597066436,0.036669542709232096,0.011216566005176877,0.039257981018119066,0.09275237273511648,0.4072476272648835,0.00016867989646246766,0.0001742881794650561,79
658,2022,Mitchell Robinson,C,23.0,NYK,72.0,62.0,1848.0,261.0,343.0,0.761,0.0,0.0,0.0,261.0,343.0,0.761,0.761,88.0,181.0,0.486,295.0,322.0,617.0,38.0,58.0,133.0,60.0,195.0,610.0,0.15963203463203463,0.17424242424242425,0.3338744588744589,0.020562770562770564,0.031385281385281384,0.07196969696969698,0.032467532467532464,0.10551948051948051,0.3300865800865801,0.0004117965367965368,0.0,72
638,2022,Immanuel Quickley,PG,22.0,NYK,78.0,3.0,1802.0,284.0,724.0,0.392,137.0,396.0,0.346,147.0,328.0,0.448,0.487,177.0,201.0,0.881,31.0,216.0,247.0,275.0,54.0,3.0,99.0,167.0,882.0,0.017203107658157604,0.11986681465038845,0.13706992230854606,0.1526082130965594,0.029966703662597113,0.001664816870144284,0.05493895671476138,0.09267480577136515,0.4894561598224195,0.00021753607103218648,0.00019200887902330743,82
761,2022,Obi Toppin,PF,23.0,NYK,72.0,10.0,1230.0,251.0,473.0,0.531,52.0,169.0,0.308,199.0,304.0,0.655,0.586,94.0,124.0,0.758,69.0,199.0,268.0,77.0,25.0,33.0,56.0,102.0,648.0,0.05609756097560976,0.16178861788617885,0.21788617886178863,0.06260162601626017,0.02032520325203252,0.026829268292682926,0.04552845528455285,0.08292682926829269,0.526829268292683,0.00043170731707317076,0.00025040650406504063,73
784,2022,Kemba Walker,PG,31.0,NYK,37.0,37.0,948.0,149.0,370.0,0.403,73.0,199.0,0.367,76.0,171.0,0.444,0.501,60.0,71.0,0.845,14.0,97.0,111.0,131.0,26.0,7.0,48.0,37.0,431.0,0.014767932489451477,0.10232067510548523,0.11708860759493671,0.13818565400843882,0.027426160337552744,0.007383966244725738,0.05063291139240506,0.039029535864978905,0.45464135021097046,0.00042510548523206753,0.0003871308016877637,78
261,2022,Taj Gibson,C,36.0,NYK,52.0,4.0,946.0,86.0,166.0,0.518,15.0,38.0,0.395,71.0,128.0,0.555,0.563,42.0,52.0,0.808,88.0,141.0,229.0,32.0,22.0,40.0,27.0,137.0,229.0,0.09302325581395349,0.14904862579281183,0.24207188160676532,0.03382663847780127,0.023255813953488372,0.042283298097251586,0.02854122621564482,0.14482029598308668,0.24207188160676532,0.000547568710359408,0.00041754756871035945,54
283,2022,Quentin Grimes,SG,21.0,NYK,46.0,6.0,786.0,95.0,235.0,0.404,72.0,189.0,0.381,23.0,46.0,0.5,0.557,13.0,19.0,0.684,24.0,70.0,94.0,44.0,31.0,11.0,28.0,72.0,275.0,0.030534351145038167,0.089058524173028,0.11959287531806616,0.05597964376590331,0.039440203562340966,0.013994910941475827,0.035623409669211195,0.0916030534351145,0.34987277353689566,0.0005139949109414758,0.0004847328244274809,65
