ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
263,2022,Shai Gilgeous-Alexander,PG,23.0,OKC,56.0,56.0,1942.0,477.0,1052.0,0.453,89.0,297.0,0.3,388.0,755.0,0.514,0.496,328.0,405.0,0.81,37.0,241.0,278.0,331.0,71.0,46.0,154.0,142.0,1371.0,0.01905252317198764,0.12409886714727085,0.1431513903192585,0.17044284243048405,0.036560247167868175,0.02368692070030896,0.07929969104016478,0.07312049433573635,0.7059732234809475,0.00023326467559217303,0.0001544799176107106,100
48,2022,Darius Bazley,PF,21.0,OKC,69.0,53.0,1924.0,274.0,649.0,0.422,80.0,269.0,0.297,194.0,380.0,0.511,0.484,117.0,170.0,0.688,71.0,365.0,436.0,97.0,58.0,70.0,90.0,68.0,745.0,0.036902286902286904,0.1897089397089397,0.22661122661122662,0.05041580041580042,0.030145530145530147,0.036382536382536385,0.04677754677754678,0.035343035343035345,0.3872141372141372,0.00021933471933471932,0.00015436590436590435,80
262,2022,Josh Giddey,SF,19.0,OKC,54.0,54.0,1700.0,281.0,670.0,0.419,56.0,213.0,0.263,225.0,457.0,0.492,0.461,56.0,79.0,0.709,98.0,323.0,421.0,345.0,51.0,20.0,171.0,88.0,674.0,0.05764705882352941,0.19,0.24764705882352941,0.20294117647058824,0.03,0.011764705882352941,0.10058823529411764,0.05176470588235294,0.39647058823529413,0.0002464705882352941,0.0001547058823529412,92
186,2022,Luguentz Dort,SG,22.0,OKC,51.0,51.0,1665.0,293.0,726.0,0.404,130.0,391.0,0.332,163.0,335.0,0.487,0.493,161.0,191.0,0.843,38.0,174.0,212.0,88.0,46.0,18.0,88.0,149.0,877.0,0.022822822822822823,0.1045045045045045,0.12732732732732732,0.05285285285285285,0.02762762762762763,0.010810810810810811,0.05285285285285285,0.0894894894894895,0.5267267267267267,0.00024264264264264266,0.0001993993993993994,74
488,2022,Tre Mann,PG,20.0,OKC,60.0,26.0,1367.0,231.0,588.0,0.393,98.0,272.0,0.36,133.0,316.0,0.421,0.476,65.0,82.0,0.793,25.0,146.0,171.0,91.0,47.0,12.0,71.0,102.0,625.0,0.018288222384784197,0.10680321872713973,0.1250914411119239,0.06656912948061448,0.03438185808339429,0.008778346744696415,0.05193855157278712,0.07461594732991954,0.45720555961960496,0.00028749085588880764,0.00026335040234089246,80
616,2022,Aleksej Pokusevski,PF,20.0,OKC,61.0,12.0,1233.0,186.0,456.0,0.408,57.0,197.0,0.289,129.0,259.0,0.498,0.47,35.0,50.0,0.7,73.0,245.0,318.0,131.0,39.0,38.0,94.0,88.0,464.0,0.059205190592051905,0.19870235198702352,0.25790754257907544,0.10624493106244931,0.031630170316301706,0.030819140308191405,0.07623682076236821,0.07137064071370641,0.37631792376317924,0.0003309002433090024,0.00023438767234387672,76
810,2022,Aaron Wiggins,SG,23.0,OKC,50.0,35.0,1209.0,156.0,337.0,0.463,42.0,138.0,0.304,114.0,199.0,0.573,0.525,62.0,85.0,0.729,51.0,127.0,178.0,68.0,30.0,10.0,54.0,93.0,416.0,0.04218362282878412,0.10504549214226634,0.14722911497105046,0.05624483043837883,0.02481389578163772,0.008271298593879239,0.04466501240694789,0.07692307692307693,0.34408602150537637,0.0003829611248966088,0.00025144747725392883,70
659,2022,Jeremiah Robinson-Earl,C,21.0,OKC,49.0,36.0,1087.0,134.0,324.0,0.414,58.0,165.0,0.352,76.0,159.0,0.478,0.503,40.0,54.0,0.741,75.0,199.0,274.0,49.0,29.0,15.0,39.0,75.0,366.0,0.06899724011039558,0.18307267709291627,0.25206991720331184,0.045078196872125116,0.02667893284268629,0.013799448022079117,0.035878564857405704,0.06899724011039558,0.33670653173873044,0.0003808647654093836,0.00032382704691812325,54
815,2022,Kenrich Williams,SF,27.0,OKC,49.0,0.0,1072.0,146.0,317.0,0.461,41.0,121.0,0.339,105.0,196.0,0.536,0.525,30.0,55.0,0.545,75.0,145.0,220.0,108.0,44.0,10.0,46.0,81.0,363.0,0.06996268656716417,0.13526119402985073,0.20522388059701493,0.10074626865671642,0.041044776119402986,0.009328358208955223,0.04291044776119403,0.07555970149253731,0.33861940298507465,0.0004300373134328358,0.0003162313432835821,66
660,2022,Isaiah Roby,PF,23.0,OKC,45.0,28.0,948.0,166.0,323.0,0.514,44.0,99.0,0.444,122.0,224.0,0.545,0.582,78.0,116.0,0.672,75.0,142.0,217.0,71.0,36.0,34.0,43.0,109.0,454.0,0.07911392405063292,0.14978902953586498,0.2289029535864979,0.07489451476793249,0.0379746835443038,0.035864978902953586,0.04535864978902954,0.1149789029535865,0.47890295358649787,0.0005421940928270042,0.00046835443037974685,76
485,2022,Théo Maledon,PG,20.0,OKC,51.0,7.0,908.0,119.0,317.0,0.375,44.0,150.0,0.293,75.0,167.0,0.449,0.445,79.0,100.0,0.79,20.0,111.0,131.0,111.0,31.0,11.0,65.0,67.0,361.0,0.022026431718061675,0.1222466960352423,0.14427312775330398,0.1222466960352423,0.034140969162995596,0.012114537444933921,0.07158590308370044,0.07378854625550661,0.3975770925110132,0.0004129955947136564,0.0003226872246696035,63
