ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
780,2022,Franz Wagner,SF,20.0,ORL,79.0,79.0,2429.0,456.0,975.0,0.468,96.0,271.0,0.354,360.0,704.0,0.511,0.517,189.0,219.0,0.863,84.0,272.0,356.0,231.0,68.0,34.0,119.0,164.0,1197.0,0.0345821325648415,0.11198023878139152,0.146562371346233,0.09510086455331412,0.02799505969534788,0.01399752984767394,0.04899135446685879,0.0675174969123096,0.49279538904899134,0.00019267188143268837,0.00014573898723754632,91
18,2022,Cole Anthony,PG,21.0,ORL,65.0,65.0,2059.0,357.0,912.0,0.391,132.0,391.0,0.338,225.0,521.0,0.432,0.464,216.0,253.0,0.854,32.0,316.0,348.0,369.0,46.0,17.0,170.0,171.0,1062.0,0.015541525012141816,0.15347255949490043,0.16901408450704225,0.17921321029626033,0.022340942204953862,0.00825643516270034,0.0825643516270034,0.08305002428363283,0.5157843613404566,0.00018989800874210782,0.00016415735794074796,99
123,2022,Wendell Carter Jr.,PF,22.0,ORL,62.0,61.0,1852.0,359.0,684.0,0.525,70.0,214.0,0.327,289.0,470.0,0.615,0.576,143.0,207.0,0.691,139.0,509.0,648.0,171.0,36.0,43.0,117.0,169.0,931.0,0.07505399568034557,0.27483801295896326,0.34989200863930886,0.09233261339092873,0.019438444924406047,0.023218142548596114,0.06317494600431965,0.09125269978401727,0.5026997840172787,0.00028347732181425485,0.0001765658747300216,90
35,2022,Mo Bamba,C,23.0,ORL,71.0,69.0,1824.0,296.0,617.0,0.48,107.0,281.0,0.381,189.0,336.0,0.563,0.566,57.0,73.0,0.781,148.0,424.0,572.0,85.0,38.0,118.0,77.0,182.0,756.0,0.08114035087719298,0.2324561403508772,0.31359649122807015,0.046600877192982455,0.020833333333333332,0.06469298245614036,0.042214912280701754,0.09978070175438597,0.4144736842105263,0.0002631578947368421,0.00020888157894736843,74
584,2022,Chuma Okeke,PF,23.0,ORL,70.0,20.0,1749.0,216.0,575.0,0.376,118.0,371.0,0.318,98.0,204.0,0.48,0.478,55.0,65.0,0.846,47.0,300.0,347.0,118.0,97.0,42.0,57.0,95.0,605.0,0.026872498570611778,0.17152658662092624,0.198399085191538,0.06746712407089765,0.05546026300743282,0.024013722126929673,0.032590051457975985,0.05431675242995998,0.34591194968553457,0.0002149799885648942,0.00018181818181818183,75
301,2022,Gary Harris,SG,27.0,ORL,61.0,30.0,1730.0,240.0,553.0,0.434,116.0,302.0,0.384,124.0,251.0,0.494,0.539,83.0,95.0,0.874,36.0,86.0,122.0,108.0,59.0,9.0,61.0,112.0,679.0,0.020809248554913295,0.04971098265895954,0.07052023121387284,0.06242774566473988,0.03410404624277456,0.005202312138728324,0.03526011560693642,0.06473988439306358,0.392485549132948,0.0002508670520231214,0.00022196531791907515,68
666,2022,Terrence Ross,SG,30.0,ORL,63.0,0.0,1448.0,220.0,554.0,0.397,77.0,264.0,0.292,143.0,290.0,0.493,0.467,112.0,130.0,0.862,20.0,141.0,161.0,116.0,28.0,12.0,75.0,68.0,629.0,0.013812154696132596,0.09737569060773481,0.1111878453038674,0.08011049723756906,0.019337016574585635,0.008287292817679558,0.05179558011049724,0.04696132596685083,0.43439226519337015,0.00027417127071823204,0.0002016574585635359,67
290,2022,R.J. Hampton,SG,20.0,ORL,64.0,14.0,1402.0,175.0,457.0,0.383,64.0,183.0,0.35,111.0,274.0,0.405,0.453,75.0,117.0,0.641,23.0,171.0,194.0,158.0,42.0,13.0,87.0,101.0,489.0,0.016405135520684736,0.12196861626248216,0.1383737517831669,0.11269614835948645,0.029957203994293864,0.009272467902995721,0.062054208273894434,0.07203994293865906,0.3487874465049929,0.0002731811697574893,0.0002496433666191155,66
730,2022,Jalen Suggs,PG,20.0,ORL,48.0,45.0,1307.0,198.0,548.0,0.361,42.0,196.0,0.214,156.0,352.0,0.443,0.4,126.0,163.0,0.773,26.0,145.0,171.0,209.0,59.0,19.0,143.0,142.0,564.0,0.019892884468247895,0.11094108645753634,0.13083397092578425,0.15990818668706963,0.045141545524101,0.014537107880642693,0.10941086457536343,0.10864575363427698,0.43152257077276207,0.00027620504973221115,0.00016373374139250191,96
781,2022,Moritz Wagner,C,24.0,ORL,63.0,3.0,960.0,197.0,396.0,0.497,66.0,201.0,0.328,131.0,195.0,0.672,0.581,104.0,129.0,0.806,42.0,190.0,232.0,87.0,20.0,13.0,56.0,123.0,564.0,0.04375,0.19791666666666666,0.24166666666666667,0.090625,0.020833333333333332,0.013541666666666667,0.058333333333333334,0.128125,0.5875,0.0005177083333333333,0.00034166666666666666,66
