ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
501,2022,Tyrese Maxey,PG,21.0,PHI,75.0,74.0,2650.0,483.0,995.0,0.485,132.0,309.0,0.427,351.0,686.0,0.512,0.552,213.0,246.0,0.866,26.0,214.0,240.0,321.0,55.0,32.0,88.0,156.0,1311.0,0.009811320754716982,0.08075471698113207,0.09056603773584905,0.12113207547169812,0.020754716981132074,0.012075471698113207,0.03320754716981132,0.05886792452830188,0.49471698113207546,0.0001830188679245283,0.00016113207547169812,86
303,2022,Tobias Harris,PF,29.0,PHI,73.0,73.0,2543.0,493.0,1022.0,0.482,101.0,275.0,0.367,392.0,747.0,0.525,0.532,170.0,202.0,0.842,77.0,419.0,496.0,252.0,47.0,43.0,116.0,164.0,1257.0,0.030279197797876523,0.16476602438065277,0.1950452221785293,0.09909555642941408,0.0184821077467558,0.016909162406606372,0.045615414864333466,0.06449075894612662,0.49429807314195834,0.00018953991348800628,0.0001443177349587102,91
214,2022,Joel Embiid,C,27.0,PHI,68.0,68.0,2297.0,666.0,1334.0,0.499,93.0,251.0,0.371,573.0,1083.0,0.529,0.534,654.0,803.0,0.814,146.0,650.0,796.0,284.0,77.0,99.0,214.0,181.0,2079.0,0.06356116673922507,0.28297779712668697,0.34653896386591204,0.12363952982150632,0.033521985198084456,0.04309969525468002,0.09316499782324772,0.07879843273835438,0.9050936003482803,0.00021723987810187202,0.00016151501959077056,95
571,2022,Georges Niang,PF,28.0,PHI,76.0,7.0,1736.0,246.0,563.0,0.437,156.0,387.0,0.403,90.0,176.0,0.511,0.575,52.0,59.0,0.881,25.0,178.0,203.0,102.0,30.0,13.0,59.0,190.0,700.0,0.014400921658986175,0.10253456221198157,0.11693548387096774,0.0587557603686636,0.01728110599078341,0.007488479262672811,0.03398617511520737,0.10944700460829493,0.4032258064516129,0.00025172811059907834,0.00023214285714285717,71
756,2022,Matisse Thybulle,SG,24.0,PHI,66.0,50.0,1685.0,150.0,300.0,0.5,45.0,144.0,0.313,105.0,156.0,0.673,0.575,34.0,43.0,0.791,42.0,109.0,151.0,75.0,115.0,71.0,39.0,158.0,379.0,0.024925816023738872,0.06468842729970327,0.08961424332344213,0.04451038575667656,0.06824925816023739,0.042136498516320474,0.02314540059347181,0.09376854599406528,0.22492581602373887,0.0002967359050445104,0.0001857566765578635,66
440,2022,Furkan Korkmaz,SG,24.0,PHI,67.0,19.0,1414.0,182.0,470.0,0.387,77.0,266.0,0.289,105.0,204.0,0.515,0.469,68.0,84.0,0.81,22.0,153.0,175.0,127.0,33.0,9.0,48.0,58.0,509.0,0.015558698727015558,0.1082036775106082,0.12376237623762376,0.08981612446958982,0.02333804809052334,0.006364922206506365,0.033946251768033946,0.04101838755304102,0.35997171145685997,0.0002736916548797737,0.00020438472418670436,63
275,2022,Danny Green,SF,34.0,PHI,62.0,28.0,1353.0,126.0,320.0,0.394,103.0,271.0,0.38,23.0,49.0,0.469,0.555,11.0,14.0,0.786,32.0,125.0,157.0,64.0,60.0,37.0,45.0,105.0,366.0,0.023651145602365115,0.09238728750923873,0.11603843311160385,0.04730229120473023,0.04434589800443459,0.027346637102734665,0.03325942350332594,0.07760532150776053,0.270509977827051,0.0002912047302291205,0.00028085735402808574,66
532,2022,Shake Milton,SG,25.0,PHI,55.0,6.0,1179.0,173.0,403.0,0.429,43.0,133.0,0.323,130.0,270.0,0.481,0.483,61.0,73.0,0.836,30.0,112.0,142.0,139.0,28.0,17.0,44.0,99.0,450.0,0.02544529262086514,0.09499575911789652,0.12044105173876166,0.11789652247667515,0.02374893977947413,0.01441899915182358,0.037319762510602206,0.08396946564885496,0.3816793893129771,0.0003638676844783715,0.00027396098388464803,65
385,2022,Isaiah Joe,SG,22.0,PHI,55.0,1.0,609.0,62.0,177.0,0.35,45.0,135.0,0.333,17.0,42.0,0.405,0.477,29.0,31.0,0.935,6.0,50.0,56.0,35.0,14.0,3.0,19.0,47.0,198.0,0.009852216748768473,0.08210180623973727,0.09195402298850575,0.05747126436781609,0.022988505747126436,0.0049261083743842365,0.031198686371100164,0.07717569786535304,0.3251231527093596,0.0005747126436781609,0.0005467980295566502,65
646,2022,Paul Reed,C,22.0,PHI,38.0,2.0,302.0,54.0,96.0,0.563,2.0,8.0,0.25,52.0,88.0,0.591,0.573,6.0,14.0,0.429,44.0,48.0,92.0,16.0,33.0,14.0,10.0,57.0,116.0,0.1456953642384106,0.15894039735099338,0.304635761589404,0.052980132450331126,0.10927152317880795,0.046357615894039736,0.033112582781456956,0.18874172185430463,0.3841059602649007,0.0018642384105960264,0.0008278145695364238,54
