ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
80,2022,Mikal Bridges,SF,25.0,PHO,82.0,82.0,2854.0,458.0,858.0,0.534,115.0,312.0,0.369,343.0,546.0,0.628,0.601,131.0,157.0,0.834,74.0,273.0,347.0,185.0,96.0,36.0,68.0,150.0,1162.0,0.02592852137351086,0.0956552207428171,0.12158374211632796,0.06482130343377715,0.03363700070077085,0.012613875262789068,0.023826208829712685,0.05255781359495445,0.4071478626489138,0.00018710581639803784,0.00012929222144358795,86
72,2022,Devin Booker,SG,25.0,PHO,68.0,68.0,2345.0,662.0,1421.0,0.466,183.0,478.0,0.383,479.0,943.0,0.508,0.53,315.0,363.0,0.868,45.0,297.0,342.0,329.0,77.0,26.0,162.0,180.0,1822.0,0.019189765458422176,0.12665245202558637,0.14584221748400852,0.14029850746268657,0.03283582089552239,0.011087420042643924,0.06908315565031983,0.0767590618336887,0.7769722814498934,0.00019872068230277187,0.00016332622601279319,100
603,2022,Chris Paul,PG,36.0,PHO,65.0,65.0,2139.0,363.0,736.0,0.493,63.0,199.0,0.317,300.0,537.0,0.559,0.536,169.0,202.0,0.837,22.0,261.0,283.0,702.0,121.0,20.0,153.0,134.0,958.0,0.010285179990649837,0.12201963534361851,0.13230481533426836,0.3281907433380084,0.0565684899485741,0.009350163627863487,0.07152875175315568,0.06264609630668537,0.4478728377746611,0.00023048153342683498,0.00014820009350163628,96
158,2022,Jae Crowder,PF,31.0,PHO,67.0,67.0,1886.0,217.0,544.0,0.399,127.0,365.0,0.348,90.0,179.0,0.503,0.516,71.0,90.0,0.789,30.0,324.0,354.0,124.0,95.0,30.0,55.0,173.0,632.0,0.015906680805938492,0.17179215270413573,0.18769883351007424,0.06574761399787911,0.0503711558854719,0.015906680805938492,0.02916224814422057,0.09172852598091198,0.33510074231177095,0.000211558854718982,0.00018451749734888653,80
392,2022,Cameron Johnson,PF,25.0,PHO,66.0,16.0,1730.0,279.0,607.0,0.46,166.0,391.0,0.425,113.0,216.0,0.523,0.596,98.0,114.0,0.86,42.0,231.0,273.0,99.0,57.0,16.0,47.0,113.0,822.0,0.024277456647398842,0.13352601156069363,0.1578034682080925,0.05722543352601156,0.032947976878612714,0.009248554913294798,0.02716763005780347,0.0653179190751445,0.4751445086705202,0.0002658959537572254,0.00024566473988439305,72
28,2022,Deandre Ayton,C,23.0,PHO,58.0,58.0,1713.0,442.0,697.0,0.634,7.0,19.0,0.368,435.0,678.0,0.642,0.639,106.0,142.0,0.746,149.0,444.0,593.0,84.0,40.0,40.0,91.0,142.0,997.0,0.08698190309398715,0.2591943957968476,0.3461762988908348,0.04903677758318739,0.023350846468184472,0.023350846468184472,0.05312317571511967,0.08289550496205488,0.5820198482194979,0.0003701109165207239,0.00021482778750729715,79
689,2022,Landry Shamet,SG,24.0,PHO,69.0,14.0,1437.0,191.0,485.0,0.394,123.0,334.0,0.368,68.0,151.0,0.45,0.521,68.0,81.0,0.84,16.0,110.0,126.0,108.0,28.0,9.0,41.0,92.0,573.0,0.011134307585247043,0.07654836464857341,0.08768267223382047,0.07515657620041753,0.019485038274182326,0.006263048016701462,0.028531663187195546,0.06402226861517049,0.3987473903966597,0.0002741823242867084,0.00025608907446068196,60
604,2022,Cameron Payne,PG,27.0,PHO,58.0,12.0,1278.0,240.0,587.0,0.409,71.0,211.0,0.336,169.0,376.0,0.449,0.469,75.0,89.0,0.843,24.0,151.0,175.0,282.0,40.0,17.0,103.0,119.0,626.0,0.018779342723004695,0.11815336463223787,0.13693270735524257,0.22065727699530516,0.03129890453834116,0.013302034428794992,0.08059467918622848,0.09311424100156494,0.48982785602503914,0.0003200312989045383,0.00026291079812206577,85
515,2022,JaVale McGee,C,34.0,PHO,74.0,17.0,1172.0,288.0,458.0,0.629,2.0,9.0,0.222,286.0,449.0,0.637,0.631,102.0,146.0,0.699,163.0,333.0,496.0,42.0,22.0,81.0,98.0,181.0,680.0,0.13907849829351535,0.2841296928327645,0.4232081911262799,0.03583617747440273,0.01877133105802048,0.06911262798634812,0.08361774744027303,0.15443686006825938,0.5802047781569966,0.0005366894197952218,0.00018941979522184302,81
605,2022,Elfrid Payton,PG,27.0,PHO,50.0,1.0,549.0,67.0,175.0,0.383,4.0,18.0,0.222,63.0,157.0,0.401,0.394,12.0,32.0,0.375,21.0,67.0,88.0,99.0,25.0,6.0,47.0,38.0,150.0,0.03825136612021858,0.122040072859745,0.16029143897996356,0.18032786885245902,0.04553734061930783,0.01092896174863388,0.08561020036429873,0.0692167577413479,0.273224043715847,0.000697632058287796,0.00040437158469945356,63
63,2022,Bismack Biyombo,C,29.0,PHO,36.0,3.0,506.0,86.0,145.0,0.593,0.0,0.0,0.0,86.0,145.0,0.593,0.593,38.0,71.0,0.535,63.0,104.0,167.0,23.0,12.0,26.0,25.0,70.0,210.0,0.12450592885375494,0.20553359683794467,0.3300395256916996,0.045454545454545456,0.023715415019762844,0.05138339920948617,0.04940711462450593,0.1383399209486166,0.4150197628458498,0.0011719367588932806,0.0,54
783,2022,Ish Wainright,PF,27.0,PHO,45.0,0.0,359.0,41.0,104.0,0.394,19.0,59.0,0.322,22.0,45.0,0.489,0.486,7.0,12.0,0.583,27.0,27.0,54.0,15.0,20.0,6.0,13.0,49.0,108.0,0.07520891364902507,0.07520891364902507,0.15041782729805014,0.04178272980501393,0.055710306406685235,0.016713091922005572,0.036211699164345405,0.13649025069637882,0.3008356545961003,0.0010974930362116992,0.0008969359331476324,65
425,2022,Frank Kaminsky,C,28.0,PHO,9.0,0.0,181.0,36.0,66.0,0.545,5.0,15.0,0.333,31.0,51.0,0.608,0.583,18.0,20.0,0.9,11.0,30.0,41.0,13.0,8.0,7.0,5.0,14.0,95.0,0.06077348066298342,0.16574585635359115,0.2265193370165746,0.0718232044198895,0.04419889502762431,0.03867403314917127,0.027624309392265192,0.07734806629834254,0.5248618784530387,0.0030110497237569064,0.001839779005524862,54
563,2022,Abdel Nader,SF,28.0,PHO,14.0,0.0,145.0,12.0,35.0,0.343,4.0,14.0,0.286,8.0,21.0,0.381,0.4,6.0,10.0,0.6,4.0,23.0,27.0,7.0,8.0,4.0,11.0,20.0,34.0,0.027586206896551724,0.15862068965517243,0.18620689655172415,0.04827586206896552,0.05517241379310345,0.027586206896551724,0.07586206896551724,0.13793103448275862,0.23448275862068965,0.0023655172413793103,0.001972413793103448,66
480,2022,Gabriel Lundberg,SG,27.0,PHO,4.0,0.0,44.0,5.0,19.0,0.263,3.0,8.0,0.375,2.0,11.0,0.182,0.342,0.0,0.0,,2.0,5.0,7.0,11.0,3.0,0.0,3.0,7.0,13.0,0.045454545454545456,0.11363636363636363,0.1590909090909091,0.25,0.06818181818181818,0.0,0.06818181818181818,0.1590909090909091,0.29545454545454547,0.005977272727272728,0.008522727272727272,66
360,2022,Chandler Hutchison,SF,25.0,PHO,6.0,0.0,22.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.5,2.0,2.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,4.0,1.0,4.0,0.0,0.22727272727272727,0.22727272727272727,0.09090909090909091,0.0,0.0,0.18181818181818182,0.045454545454545456,0.18181818181818182,0.022727272727272728,0.0,66
737,2022,Emanuel Terry,PF,25.0,PHO,3.0,0.0,18.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,8.0,7.0,15.0,2.0,1.0,0.0,5.0,4.0,0.0,0.4444444444444444,0.3888888888888889,0.8333333333333334,0.1111111111111111,0.05555555555555555,0.0,0.2777777777777778,0.2222222222222222,0.0,0.0,0.0,66
786,2022,M.J. Walker,SG,23.0,PHO,2.0,0.0,8.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.125,0.125,0.125,0.25,0.0,0.0,0.125,0.0,0.0,0.0,65
43,2022,Paris Bass,SF,26.0,PHO,2.0,0.0,7.0,2.0,6.0,0.333,0.0,2.0,0.0,2.0,4.0,0.5,0.333,2.0,2.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,2.0,2.0,6.0,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.0,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.04757142857142858,0.0,67
