ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
697,2022,Anfernee Simons,SG,22.0,POR,57.0,30.0,1681.0,353.0,797.0,0.443,179.0,442.0,0.405,174.0,355.0,0.49,0.555,103.0,116.0,0.888,26.0,125.0,151.0,221.0,30.0,6.0,115.0,110.0,988.0,0.015466983938132063,0.074360499702558,0.08982748364069007,0.13146936347412255,0.01784651992861392,0.003569303985722784,0.06841165972635337,0.06543723973825104,0.5877453896490185,0.00026353361094586555,0.00024092801903628793,74
577,2022,Jusuf Nurkić,C,27.0,POR,56.0,56.0,1579.0,321.0,600.0,0.535,15.0,56.0,0.268,306.0,544.0,0.563,0.548,185.0,268.0,0.69,167.0,452.0,619.0,157.0,62.0,34.0,143.0,189.0,842.0,0.1057631412286257,0.2862571247625079,0.39202026599113365,0.09943001899936668,0.03926535782140595,0.021532615579480684,0.09056364787840405,0.11969601013299556,0.5332488917036099,0.00033882203926535785,0.00016972767574414187,87
521,2022,Ben McLemore,SG,28.0,POR,64.0,6.0,1285.0,216.0,539.0,0.401,151.0,417.0,0.362,65.0,122.0,0.533,0.541,72.0,88.0,0.818,12.0,91.0,103.0,59.0,38.0,10.0,55.0,103.0,655.0,0.00933852140077821,0.07081712062256809,0.08015564202334631,0.045914396887159536,0.029571984435797664,0.007782101167315175,0.042801556420233464,0.08015564202334631,0.5097276264591439,0.00031206225680933855,0.00028171206225680934,59
211,2022,CJ Elleby,SF,21.0,POR,58.0,28.0,1174.0,121.0,308.0,0.393,37.0,126.0,0.294,84.0,182.0,0.462,0.453,60.0,84.0,0.714,66.0,161.0,227.0,87.0,35.0,19.0,56.0,116.0,339.0,0.056218057921635436,0.13713798977853492,0.19335604770017037,0.07410562180579217,0.029812606473594547,0.016183986371379896,0.04770017035775128,0.09880749574105621,0.2887563884156729,0.0003347529812606474,0.0002504258943781942,66
469,2022,Nassir Little,SF,21.0,POR,42.0,23.0,1088.0,145.0,315.0,0.46,51.0,154.0,0.331,94.0,161.0,0.584,0.541,69.0,94.0,0.734,58.0,178.0,236.0,54.0,25.0,36.0,40.0,82.0,410.0,0.05330882352941176,0.1636029411764706,0.21691176470588236,0.04963235294117647,0.02297794117647059,0.03308823529411765,0.03676470588235294,0.07536764705882353,0.37683823529411764,0.00042279411764705886,0.0003042279411764706,78
468,2022,Damian Lillard,PG,31.0,POR,29.0,29.0,1056.0,222.0,552.0,0.402,92.0,284.0,0.324,130.0,268.0,0.485,0.486,159.0,181.0,0.878,13.0,107.0,120.0,212.0,17.0,11.0,83.0,37.0,695.0,0.01231060606060606,0.10132575757575757,0.11363636363636363,0.20075757575757575,0.016098484848484848,0.010416666666666666,0.07859848484848485,0.035037878787878785,0.6581439393939394,0.0003806818181818182,0.0003068181818181818,89
799,2022,Trendon Watford,SF,21.0,POR,48.0,10.0,869.0,142.0,267.0,0.532,9.0,38.0,0.237,133.0,229.0,0.581,0.549,71.0,94.0,0.755,57.0,142.0,199.0,81.0,25.0,28.0,44.0,116.0,364.0,0.06559263521288838,0.16340621403912542,0.2289988492520138,0.09321058688147296,0.028768699654775604,0.03222094361334868,0.05063291139240506,0.1334867663981588,0.4188722669735328,0.0006121979286536249,0.00027272727272727274,66
813,2022,Brandon Williams,PG,22.0,POR,24.0,16.0,640.0,105.0,282.0,0.372,31.0,106.0,0.292,74.0,176.0,0.42,0.427,68.0,97.0,0.701,19.0,55.0,74.0,94.0,24.0,10.0,58.0,52.0,309.0,0.0296875,0.0859375,0.115625,0.146875,0.0375,0.015625,0.090625,0.08125,0.4828125,0.00058125,0.00045624999999999995,63
95,2022,Greg Brown III,SF,20.0,POR,48.0,6.0,640.0,81.0,190.0,0.426,19.0,61.0,0.311,62.0,129.0,0.481,0.476,44.0,65.0,0.677,38.0,97.0,135.0,35.0,26.0,24.0,36.0,90.0,225.0,0.059375,0.1515625,0.2109375,0.0546875,0.040625,0.0375,0.05625,0.140625,0.3515625,0.000665625,0.0004859375,66
705,2022,Dennis Smith Jr.,PG,24.0,POR,37.0,4.0,638.0,79.0,189.0,0.418,6.0,27.0,0.222,73.0,162.0,0.451,0.434,42.0,64.0,0.656,20.0,68.0,88.0,132.0,45.0,12.0,51.0,52.0,206.0,0.03134796238244514,0.10658307210031348,0.13793103448275862,0.20689655172413793,0.07053291536050156,0.018808777429467086,0.07993730407523511,0.08150470219435736,0.322884012539185,0.0006551724137931034,0.0003479623824451411,63
