ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
39,2022,Harrison Barnes,PF,29.0,SAC,77.0,77.0,2587.0,391.0,834.0,0.469,142.0,360.0,0.394,249.0,474.0,0.525,0.554,341.0,413.0,0.826,82.0,350.0,432.0,186.0,53.0,14.0,118.0,94.0,1265.0,0.031696946269810594,0.1352918438345574,0.16698879010436798,0.07189795129493622,0.020487050637804406,0.005411673753382296,0.04561267877850792,0.0363355237727097,0.4889833784306146,0.0001812910707383069,0.00015229996134518748,86
238,2022,De'Aaron Fox,PG,24.0,SAC,59.0,59.0,2083.0,516.0,1092.0,0.473,74.0,249.0,0.297,442.0,843.0,0.524,0.506,261.0,348.0,0.75,25.0,206.0,231.0,330.0,68.0,25.0,168.0,172.0,1367.0,0.01200192030724916,0.09889582333173308,0.11089774363898224,0.15842534805568892,0.03264522323571772,0.01200192030724916,0.08065290446471435,0.08257321171387422,0.6562650024003841,0.0002270763322131541,0.00014258281325012,97
533,2022,Davion Mitchell,PG,23.0,SAC,75.0,19.0,2076.0,352.0,843.0,0.418,101.0,320.0,0.316,251.0,523.0,0.48,0.477,56.0,85.0,0.659,33.0,133.0,166.0,313.0,55.0,24.0,114.0,141.0,861.0,0.015895953757225433,0.0640655105973025,0.07996146435452794,0.15077071290944125,0.026493256262042388,0.011560693641618497,0.05491329479768786,0.06791907514450866,0.4147398843930636,0.00020134874759152215,0.00015221579961464355,82
524,2022,Chimezie Metu,C,24.0,SAC,60.0,20.0,1279.0,203.0,449.0,0.452,57.0,186.0,0.306,146.0,263.0,0.555,0.516,71.0,91.0,0.78,34.0,301.0,335.0,60.0,51.0,32.0,61.0,93.0,534.0,0.026583268178264268,0.23534010946051603,0.2619233776387803,0.04691164972634871,0.0398749022673964,0.02501954652071931,0.04769351055512119,0.0727130570758405,0.4175136825645035,0.0003534010946051603,0.00023924941360437842,63
340,2022,Richaun Holmes,C,28.0,SAC,45.0,37.0,1074.0,198.0,300.0,0.66,2.0,5.0,0.4,196.0,295.0,0.664,0.663,70.0,90.0,0.778,93.0,224.0,317.0,48.0,17.0,41.0,56.0,128.0,468.0,0.08659217877094973,0.2085661080074488,0.2951582867783985,0.0446927374301676,0.015828677839851025,0.038175046554934824,0.0521415270018622,0.1191806331471136,0.43575418994413406,0.0006145251396648044,0.00037243947858473,72
409,2022,Damian Jones,C,26.0,SAC,56.0,15.0,1017.0,175.0,266.0,0.658,10.0,29.0,0.345,165.0,237.0,0.696,0.677,94.0,131.0,0.718,75.0,171.0,246.0,69.0,26.0,47.0,59.0,130.0,454.0,0.07374631268436578,0.168141592920354,0.24188790560471976,0.06784660766961652,0.025565388397246803,0.046214355948869225,0.05801376597836775,0.127826941986234,0.4464110127826942,0.0006470009832841692,0.00033923303834808256,67
295,2022,Maurice Harkless,SF,28.0,SAC,47.0,24.0,863.0,83.0,181.0,0.459,31.0,101.0,0.307,52.0,80.0,0.65,0.544,20.0,28.0,0.714,12.0,100.0,112.0,23.0,29.0,24.0,31.0,77.0,217.0,0.013904982618771726,0.11587485515643106,0.12977983777520277,0.026651216685979143,0.03360370799536501,0.027809965237543453,0.03592120509849363,0.08922363847045191,0.2514484356894554,0.0005318655851680186,0.00035573580533024334,66
462,2022,Alex Len,C,28.0,SAC,39.0,10.0,620.0,94.0,176.0,0.534,6.0,21.0,0.286,88.0,155.0,0.568,0.551,41.0,63.0,0.651,52.0,109.0,161.0,45.0,13.0,25.0,43.0,100.0,235.0,0.08387096774193549,0.17580645161290323,0.25967741935483873,0.07258064516129033,0.020967741935483872,0.04032258064516129,0.06935483870967742,0.16129032258064516,0.3790322580645161,0.0008612903225806453,0.00046129032258064513,54
168,2022,Terence Davis,SG,24.0,SAC,30.0,11.0,536.0,113.0,267.0,0.423,49.0,149.0,0.329,64.0,118.0,0.542,0.515,36.0,44.0,0.818,11.0,83.0,94.0,40.0,25.0,11.0,33.0,70.0,311.0,0.020522388059701493,0.15485074626865672,0.17537313432835822,0.07462686567164178,0.04664179104477612,0.020522388059701493,0.061567164179104475,0.13059701492537312,0.5802238805970149,0.0007891791044776119,0.0006138059701492537,65
639,2022,Jahmi'us Ramsey,SG,20.0,SAC,19.0,0.0,134.0,24.0,58.0,0.414,5.0,18.0,0.278,19.0,40.0,0.475,0.457,7.0,14.0,0.5,4.0,9.0,13.0,7.0,1.0,1.0,5.0,10.0,60.0,0.029850746268656716,0.06716417910447761,0.09701492537313433,0.05223880597014925,0.007462686567164179,0.007462686567164179,0.03731343283582089,0.07462686567164178,0.44776119402985076,0.00308955223880597,0.002074626865671642,65
