ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
40,2022,Scottie Barnes,PF,20.0,TOR,74.0,74.0,2617.0,459.0,932.0,0.492,58.0,193.0,0.301,401.0,739.0,0.543,0.524,158.0,215.0,0.735,195.0,362.0,557.0,256.0,80.0,55.0,136.0,192.0,1134.0,0.07451280091708062,0.13832632785632404,0.21283912877340466,0.09782193351165457,0.030569354222392053,0.021016431027894536,0.05196790217806649,0.07336645013374092,0.43332059610240736,0.0001880015284677111,0.00011501719526175009,92
692,2022,Pascal Siakam,PF,27.0,TOR,68.0,68.0,2578.0,596.0,1207.0,0.494,75.0,218.0,0.344,521.0,989.0,0.527,0.525,284.0,379.0,0.749,128.0,452.0,580.0,360.0,85.0,42.0,181.0,225.0,1551.0,0.04965089216446858,0.17532971295577968,0.22498060512024826,0.13964313421256788,0.032971295577967415,0.016291698991466253,0.07020946470131885,0.08727695888285493,0.6016291698991466,0.00019162141194724593,0.0001334367726920093,98
775,2022,Fred VanVleet,PG,27.0,TOR,65.0,65.0,2462.0,442.0,1097.0,0.403,242.0,642.0,0.377,200.0,455.0,0.44,0.513,194.0,222.0,0.874,44.0,245.0,289.0,434.0,111.0,35.0,170.0,162.0,1320.0,0.017871649065800164,0.09951259138911454,0.1173842404549147,0.17627944760357434,0.04508529650690495,0.01421608448415922,0.06904955320877336,0.06580016246953696,0.5361494719740049,0.00016368805848903333,0.00015312753858651504,98
764,2022,Gary Trent Jr.,SG,23.0,TOR,70.0,69.0,2448.0,450.0,1086.0,0.414,209.0,545.0,0.383,241.0,541.0,0.445,0.511,174.0,204.0,0.853,26.0,165.0,191.0,141.0,122.0,19.0,73.0,144.0,1283.0,0.010620915032679739,0.06740196078431372,0.07802287581699346,0.05759803921568627,0.049836601307189546,0.007761437908496732,0.0298202614379085,0.058823529411764705,0.5241013071895425,0.00016911764705882353,0.00015645424836601308,79
19,2022,OG Anunoby,SF,24.0,TOR,48.0,48.0,1728.0,309.0,697.0,0.443,115.0,317.0,0.363,194.0,380.0,0.511,0.526,89.0,118.0,0.754,74.0,190.0,264.0,125.0,71.0,25.0,80.0,131.0,822.0,0.04282407407407408,0.1099537037037037,0.1527777777777778,0.07233796296296297,0.041087962962962965,0.014467592592592593,0.046296296296296294,0.07581018518518519,0.4756944444444444,0.00025636574074074076,0.00021006944444444445,81
0,2022,Precious Achiuwa,C,22.0,TOR,73.0,28.0,1725.0,265.0,603.0,0.439,56.0,156.0,0.359,209.0,447.0,0.468,0.486,78.0,131.0,0.595,146.0,327.0,473.0,82.0,37.0,41.0,84.0,151.0,664.0,0.08463768115942029,0.18956521739130436,0.27420289855072466,0.04753623188405797,0.021449275362318842,0.023768115942028985,0.04869565217391304,0.08753623188405797,0.3849275362318841,0.0002544927536231884,0.0002081159420289855,68
75,2022,Chris Boucher,SF,29.0,TOR,80.0,9.0,1690.0,268.0,577.0,0.464,68.0,229.0,0.297,200.0,348.0,0.575,0.523,150.0,193.0,0.777,179.0,315.0,494.0,25.0,49.0,75.0,42.0,174.0,754.0,0.1059171597633136,0.1863905325443787,0.2923076923076923,0.014792899408284023,0.028994082840236687,0.04437869822485207,0.02485207100591716,0.10295857988165681,0.4461538461538462,0.0002745562130177515,0.00017573964497041419,79
61,2022,Khem Birch,C,29.0,TOR,55.0,28.0,991.0,97.0,200.0,0.485,0.0,14.0,0.0,97.0,186.0,0.522,0.485,53.0,71.0,0.746,122.0,117.0,239.0,56.0,30.0,26.0,29.0,104.0,247.0,0.1231079717457114,0.11806256306760847,0.24117053481331988,0.056508577194752774,0.030272452068617558,0.026236125126135216,0.029263370332996974,0.10494450050454086,0.24924318869828457,0.0004894046417759838,0.0,54
562,2022,Svi Mykhailiuk,SF,24.0,TOR,56.0,5.0,716.0,91.0,234.0,0.389,41.0,134.0,0.306,50.0,100.0,0.5,0.476,32.0,37.0,0.865,20.0,72.0,92.0,45.0,26.0,4.0,32.0,54.0,255.0,0.027932960893854747,0.1005586592178771,0.12849162011173185,0.06284916201117319,0.036312849162011177,0.00558659217877095,0.0446927374301676,0.07541899441340782,0.35614525139664804,0.0005432960893854749,0.00042737430167597766,65
37,2022,Dalano Banton,PG,22.0,TOR,64.0,1.0,696.0,83.0,202.0,0.411,13.0,51.0,0.255,70.0,151.0,0.464,0.443,26.0,44.0,0.591,38.0,86.0,124.0,99.0,28.0,10.0,53.0,68.0,205.0,0.05459770114942529,0.1235632183908046,0.1781609195402299,0.14224137931034483,0.040229885057471264,0.014367816091954023,0.07614942528735633,0.09770114942528736,0.29454022988505746,0.0005905172413793103,0.0003663793103448276,63
231,2022,Malachi Flynn,PG,23.0,TOR,44.0,5.0,537.0,72.0,183.0,0.393,30.0,90.0,0.333,42.0,93.0,0.452,0.475,15.0,24.0,0.625,10.0,53.0,63.0,70.0,20.0,4.0,13.0,45.0,189.0,0.0186219739292365,0.09869646182495345,0.11731843575418995,0.1303538175046555,0.037243947858473,0.0074487895716946,0.024208566108007448,0.08379888268156424,0.35195530726256985,0.0007318435754189945,0.0006201117318435754,63
794,2022,Yuta Watanabe,SF,27.0,TOR,38.0,4.0,445.0,56.0,138.0,0.406,27.0,79.0,0.342,29.0,59.0,0.492,0.504,24.0,40.0,0.6,18.0,74.0,92.0,21.0,11.0,16.0,19.0,38.0,163.0,0.04044943820224719,0.1662921348314607,0.20674157303370785,0.04719101123595506,0.024719101123595506,0.035955056179775284,0.04269662921348315,0.0853932584269663,0.36629213483146067,0.0009123595505617978,0.0007685393258426967,65
129,2022,Justin Champagnie,SF,20.0,TOR,36.0,0.0,281.0,31.0,67.0,0.463,10.0,28.0,0.357,21.0,39.0,0.538,0.537,9.0,9.0,1.0,37.0,35.0,72.0,11.0,8.0,4.0,8.0,32.0,81.0,0.13167259786476868,0.12455516014234876,0.25622775800711745,0.03914590747330961,0.028469750889679714,0.014234875444839857,0.028469750889679714,0.11387900355871886,0.28825622775800713,0.0016476868327402136,0.0012704626334519573,65
71,2022,Isaac Bonga,SF,22.0,TOR,15.0,0.0,69.0,3.0,13.0,0.231,1.0,4.0,0.25,2.0,9.0,0.222,0.269,5.0,8.0,0.625,4.0,3.0,7.0,4.0,8.0,2.0,2.0,10.0,12.0,0.057971014492753624,0.043478260869565216,0.10144927536231885,0.057971014492753624,0.11594202898550725,0.028985507246376812,0.028985507246376812,0.14492753623188406,0.17391304347826086,0.0033478260869565218,0.0036231884057971015,65
820,2022,D.J. Wilson,PF,25.0,TOR,4.0,1.0,54.0,11.0,15.0,0.733,0.0,2.0,0.0,11.0,13.0,0.846,0.733,8.0,10.0,0.8,1.0,15.0,16.0,5.0,5.0,1.0,2.0,6.0,30.0,0.018518518518518517,0.2777777777777778,0.2962962962962963,0.09259259259259259,0.09259259259259259,0.018518518518518517,0.037037037037037035,0.1111111111111111,0.5555555555555556,0.013574074074074073,0.0,66
596,2022,Daniel Oturu,C,22.0,TOR,3.0,0.0,27.0,3.0,6.0,0.5,0.0,1.0,0.0,3.0,5.0,0.6,0.5,3.0,5.0,0.6,1.0,4.0,5.0,0.0,0.0,2.0,0.0,1.0,9.0,0.037037037037037035,0.14814814814814814,0.18518518518518517,0.0,0.0,0.07407407407407407,0.0,0.037037037037037035,0.3333333333333333,0.018518518518518517,0.0,53
393,2022,David Johnson,SG,20.0,TOR,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65
171,2022,Sam Dekker,PF,27.0,TOR,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65
