ID,Season,Player,Pos,Age,team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,FG%_per_game,3P%_per_game,Rating
286,2022,Tyrese Haliburton,SG-PG,21.0,TOT,77.0,77.0,2695.0,430.0,909.0,0.473,161.0,389.0,0.414,269.0,520.0,0.517,0.562,160.0,190.0,0.842,61.0,250.0,311.0,628.0,134.0,49.0,199.0,121.0,1181.0,0.022634508348794064,0.09276437847866419,0.11539888682745826,0.23302411873840445,0.04972170686456401,0.01818181818181818,0.0738404452690167,0.044897959183673466,0.43821892393320966,0.00017551020408163265,0.0001536178107606679,100
321,2022,Buddy Hield,SG,29.0,TOT,81.0,32.0,2499.0,446.0,1098.0,0.406,262.0,716.0,0.366,184.0,382.0,0.482,0.526,111.0,127.0,0.874,66.0,287.0,353.0,229.0,73.0,25.0,153.0,184.0,1265.0,0.026410564225690276,0.11484593837535013,0.14125650260104042,0.09163665466186474,0.02921168467386955,0.010004001600640256,0.061224489795918366,0.07362945178071229,0.506202480992397,0.00016246498599439778,0.00014645858343337334,87
292,2022,James Harden,PG,32.0,TOT,65.0,65.0,2419.0,407.0,992.0,0.41,148.0,448.0,0.33,259.0,544.0,0.476,0.485,470.0,536.0,0.877,55.0,445.0,500.0,667.0,82.0,36.0,284.0,153.0,1432.0,0.02273666804464655,0.18396031417941297,0.20669698222405952,0.27573377428689544,0.03389830508474576,0.014882182720132286,0.11740388590326581,0.06324927656056221,0.5919801570897065,0.0001694915254237288,0.0001364200082678793,100
804,2022,Derrick White,SG,27.0,TOT,75.0,52.0,2199.0,337.0,800.0,0.421,115.0,369.0,0.312,222.0,431.0,0.515,0.493,203.0,235.0,0.864,38.0,223.0,261.0,366.0,64.0,58.0,119.0,172.0,992.0,0.017280582082764895,0.10140973169622555,0.11869031377899045,0.1664392905866303,0.02910413824465666,0.0263756252842201,0.05411550704865848,0.07821737153251478,0.45111414279217826,0.0001914506593906321,0.00014188267394270123,78
508,2022,CJ McCollum,SG,30.0,TOT,62.0,62.0,2145.0,536.0,1164.0,0.46,182.0,469.0,0.388,354.0,695.0,0.509,0.539,116.0,170.0,0.682,53.0,216.0,269.0,315.0,70.0,22.0,127.0,121.0,1370.0,0.02470862470862471,0.1006993006993007,0.12540792540792542,0.14685314685314685,0.03263403263403263,0.010256410256410256,0.05920745920745921,0.05641025641025641,0.6386946386946387,0.00021445221445221446,0.00018088578088578088,88
671,2022,Domantas Sabonis,PF,25.0,TOT,62.0,61.0,2136.0,443.0,773.0,0.573,39.0,125.0,0.312,404.0,648.0,0.623,0.598,246.0,332.0,0.741,201.0,551.0,752.0,323.0,59.0,27.0,195.0,203.0,1171.0,0.09410112359550561,0.25795880149812733,0.352059925093633,0.15121722846441948,0.02762172284644195,0.012640449438202247,0.09129213483146068,0.0950374531835206,0.5482209737827716,0.00026825842696629213,0.0001460674157303371,100
162,2022,Seth Curry,SG,31.0,TOT,64.0,64.0,2135.0,360.0,739.0,0.487,158.0,374.0,0.422,202.0,365.0,0.553,0.594,82.0,94.0,0.872,21.0,179.0,200.0,230.0,53.0,14.0,109.0,148.0,960.0,0.009836065573770493,0.08384074941451991,0.0936768149882904,0.10772833723653395,0.024824355971896955,0.006557377049180328,0.05105386416861827,0.06932084309133489,0.4496487119437939,0.00022810304449648712,0.00019765807962529274,73
337,2022,Justin Holiday,SF-SG,32.0,TOT,74.0,65.0,2057.0,261.0,662.0,0.394,177.0,482.0,0.367,84.0,180.0,0.467,0.528,50.0,62.0,0.806,29.0,161.0,190.0,128.0,57.0,33.0,70.0,154.0,749.0,0.014098201263976665,0.07826932425862908,0.09236752552260574,0.06222654350996597,0.02771025765678172,0.016042780748663103,0.03403014098201264,0.0748663101604278,0.36412250850753525,0.00019154107924161402,0.00017841516771998056,70
178,2022,Spencer Dinwiddie,PG,28.0,TOT,67.0,51.0,1980.0,306.0,735.0,0.416,112.0,330.0,0.339,194.0,405.0,0.479,0.493,195.0,252.0,0.774,45.0,234.0,279.0,346.0,44.0,13.0,104.0,150.0,919.0,0.022727272727272728,0.11818181818181818,0.1409090909090909,0.17474747474747473,0.022222222222222223,0.0065656565656565654,0.052525252525252523,0.07575757575757576,0.46414141414141413,0.0002101010101010101,0.00017121212121212122,88
151,2022,Robert Covington,PF,31.0,TOT,71.0,42.0,1940.0,209.0,498.0,0.42,128.0,339.0,0.378,81.0,159.0,0.509,0.548,58.0,69.0,0.841,59.0,332.0,391.0,92.0,103.0,91.0,75.0,190.0,604.0,0.030412371134020618,0.1711340206185567,0.20154639175257733,0.04742268041237113,0.05309278350515464,0.04690721649484536,0.03865979381443299,0.0979381443298969,0.311340206185567,0.00021649484536082474,0.00019484536082474226,83
