,team,Alias,Conference,score1,score2,win,loss,win_prob_avg,win_rate,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3P%,FT
0,Hawks,ATL,E,116.97619047619048,114.49047619047619,122,88,0.6292183673469389,64.07604793356421,1496.5457054140177,1519.67388457348,0.5990604110173653,0.40093958898263476,1495.912906673915,1520.3066833135827,1521.2982572326325,1495.2741085708903,0.6407604793356421,0.35923952066435805,793.0,2672.0,3465.0,1956.0,544.0,335.0,874.0,1453.0,8834.0,5.597,1394.0
1,Celtics,BOS,E,115.24583333333334,108.20416666666667,160,80,0.45965285714285714,74.10232397228742,1629.1448720901471,1517.3907452767417,0.74898667732485,0.25101332267515,1627.500509678869,1519.0351076880195,1642.167855277856,1519.0421516137053,0.7410232397228742,0.2589767602771259,710.0,2415.0,3125.0,1609.0,464.0,397.0,852.0,1151.0,7286.0,4.225,1092.0
2,Nets,BRK,E,112.88625592417061,110.65402843601896,121,90,0.4702442857142858,62.254188082482784,1534.9715172131675,1512.8542751010184,0.6508048533747046,0.3491951466252954,1532.7334949418466,1515.0922973723389,1519.269026593363,1500.6404895378491,0.6225418808248279,0.3774581191751721,615.0,2005.0,2620.0,1329.0,406.0,341.0,708.0,1208.0,7043.0,4.0600000000000005,1011.0
3,Bulls,CHI,E,111.57948717948717,110.71282051282051,100,95,0.5103361224489796,55.32347988711216,1469.0328659712904,1511.28656560192,0.5745166602943027,0.42548333970569735,1467.4438714911716,1512.8755600820384,1460.23309484933,1503.1309089334472,0.5532347988711216,0.44676520112887835,645.0,2652.0,3297.0,1929.0,567.0,327.0,970.0,1469.0,8937.0,5.266,1399.0
4,Hornets,CHO,E,109.17368421052632,112.73157894736842,76,114,0.4814493877551019,49.07755246271117,1445.2004740624602,1504.7907978471644,0.5520409574985271,0.44795904250147284,1440.972582127953,1509.0186897816714,1397.7986504050327,1493.1359324390335,0.4907755246271117,0.5092244753728883,818.0,2632.0,3450.0,2131.0,668.0,377.0,973.0,1523.0,8855.0,4.0649999999999995,1207.0
5,Cavaliers,CLE,E,109.83663366336634,108.0049504950495,113,89,0.5547869387755103,56.54580861671297,1480.8954502531622,1501.023979597364,0.5977713387892765,0.4022286612107235,1479.8073440959117,1502.1120857546143,1458.1531819668553,1488.6951070535463,0.5654580861671297,0.4345419138328703,785.0,2594.0,3379.0,1867.0,534.0,329.0,1001.0,1312.0,8277.0,4.285,1302.0
6,Mavericks,DAL,W,113.10426540284361,109.86255924170617,123,88,0.553691632653061,70.0152795883564,1555.1421475381017,1508.9580361726007,0.6799056526132166,0.32009434738678333,1552.539937344195,1511.560246366507,1577.0242418848306,1493.8659309333723,0.700152795883564,0.29984720411643595,649.0,2384.0,3033.0,1723.0,492.0,240.0,847.0,1404.0,7594.0,5.453,1074.0
7,Nuggets,DEN,W,115.86324786324786,109.45299145299145,170,64,0.44834795918367354,74.04397707187472,1587.1775122487577,1521.2114064828963,0.7003616658902208,0.2996383341097792,1587.500085732244,1520.8888329994097,1599.607505345353,1516.441647097066,0.7404397707187472,0.2595602292812528,694.0,2715.0,3409.0,2185.0,564.0,290.0,1042.0,1489.0,8655.0,5.7940000000000005,1270.0
8,Pistons,DET,E,108.89583333333333,113.56770833333333,55,137,0.460928163265306,39.77082674963135,1365.1285566970207,1505.1271450772772,0.4438811333953834,0.5561188666046165,1362.0443990563094,1508.2113027179887,1318.5145896217678,1490.1390466886726,0.39770826749631344,0.6022917325036866,771.0,2209.0,2980.0,1779.0,564.0,330.0,974.0,1561.0,7421.0,5.483,1194.0
9,Warriors,GSW,W,115.44495412844037,110.09633027522936,149,69,0.6571087755102041,60.84131220093351,1545.5153427855093,1516.0900698336418,0.65965053266007,0.34034946733993,1545.9277336636287,1515.6776789555227,1517.0377229534838,1514.4078941097614,0.6084131220093351,0.39158687799066505,799.0,2924.0,3723.0,2220.0,719.0,371.0,1173.0,1721.0,9096.0,5.018,1280.0
10,Rockets,HOU,W,111.46766169154229,114.96019900497512,76,125,0.5818618367346939,45.87674860908481,1393.059272207168,1518.7056881141175,0.45648348422149543,0.5435165157785046,1391.0959066945993,1520.6690536266863,1398.5102769192183,1503.9299873837347,0.45876748609084805,0.541232513909152,714.0,2347.0,3061.0,1679.0,540.0,341.0,1119.0,1481.0,8034.0,4.293,1296.0
11,Pacers,IND,E,115.33838383838383,115.33838383838383,95,103,0.44435183673469414,56.85471091426171,1479.0088534856063,1514.813300118139,0.578964258893935,0.42103574110606495,1476.9481897600904,1516.8739638436555,1466.990502747705,1497.2081598685465,0.5685471091426171,0.43145289085738286,513.0,1271.0,1784.0,830.0,287.0,291.0,505.0,835.0,4416.0,3.428,669.0
12,Clippers,LAC,W,113.47004608294931,109.3410138248848,132,85,0.5728730612244899,66.65207014471139,1557.2343963271867,1516.182042839308,0.6724110588711084,0.3275889411288915,1555.1849846047442,1518.2314545617505,1567.4751945386722,1509.130681671497,0.6665207014471138,0.33347929855288627,639.0,2488.0,3127.0,1815.0,535.0,322.0,955.0,1310.0,7994.0,4.368,1131.0
13,Lakers,LAL,W,114.1798245614035,110.1359649122807,138,90,0.4051730612244898,60.611889069540496,1542.7592924400296,1518.878747047893,0.6474006951938105,0.35259930480618945,1542.2007336087413,1519.4373058791812,1527.825986664292,1521.469337102892,0.6061188906954049,0.39388110930459513,682.0,2583.0,3265.0,1836.0,592.0,381.0,1052.0,1483.0,8721.0,5.204,1330.0
14,Grizzlies,MEM,W,116.02843601895735,109.68720379146919,147,64,0.5907136734693877,65.38756645883544,1559.694445393065,1510.817332252226,0.6835868234248899,0.3164131765751101,1559.7876399660277,1510.7241376792633,1541.7501121975913,1496.9631762127383,0.6538756645883543,0.3461243354116457,1158.0,2872.0,4030.0,2131.0,800.0,533.0,1023.0,1618.0,9480.0,5.324,1393.0
15,Heat,MIA,E,110.70124481327801,107.4356846473029,160,81,0.493439387755102,64.12804784471068,1568.130007338765,1526.068407069957,0.6725974384528952,0.32740256154710473,1566.9459525476789,1527.252461861043,1557.2607454328338,1523.3066031863798,0.6412804784471068,0.3587195215528933,792.0,2747.0,3539.0,2078.0,604.0,262.0,1119.0,1656.0,8951.0,5.749,1401.0
16,Bucks,MIL,E,118.09417040358744,111.04484304932735,164,59,0.5383744897959186,73.1600127022908,1625.5502845493727,1513.4802759542226,0.748743467094037,0.2512565329059629,1623.9844820252335,1515.0460784783618,1616.4881893491147,1503.016140552837,0.731600127022908,0.26839987297709206,703.0,2614.0,3317.0,1759.0,543.0,290.0,941.0,1244.0,8618.0,4.536,1344.0
17,Timberwolves,MIN,W,113.35323383084577,113.64676616915423,97,104,0.35597734693877553,61.93435641749823,1470.6852089576923,1512.0849257829877,0.5754714680729667,0.42452853192703327,1468.3044718454466,1514.465662895234,1502.4165024748572,1490.3479692033968,0.6193435641749823,0.38065643582501785,915.0,2681.0,3596.0,2090.0,717.0,454.0,1119.0,1777.0,9478.0,5.331,1471.0
18,Pelicans,NOP,W,114.70149253731343,111.88059701492537,108,93,0.511634693877551,61.694357373249645,1507.7782206060244,1524.495065510269,0.6036914101972293,0.3963085898027706,1506.6913195700959,1525.5819665461972,1512.5668846447866,1498.5621105533885,0.6169435737324964,0.38305642626750364,827.0,2133.0,2960.0,1494.0,531.0,287.0,824.0,1283.0,6893.0,4.533,1216.0
19,Knicks,NYK,E,110.82439024390244,109.19024390243902,108,97,0.3695824489795919,57.463805466960885,1494.7851385833262,1505.090834092159,0.6159131174023506,0.3840868825976494,1492.9564565877556,1506.919516087729,1479.51697258322,1501.9013480511794,0.5746380546696088,0.42536194533039123,928.0,2811.0,3739.0,1780.0,556.0,394.0,999.0,1652.0,8593.0,4.836,1437.0
20,Thunder,OKC,W,113.27638190954774,113.7537688442211,96,103,0.5396920408163267,47.42109839267638,1443.426185180269,1511.1764791164396,0.536056482238502,0.46394351776149795,1442.198897930913,1512.4037663657957,1379.8128737376987,1492.6276884898941,0.47421098392676375,0.5257890160732362,852.0,2876.0,3728.0,1810.0,612.0,379.0,1074.0,1486.0,8436.0,7.069,1223.0
21,Magic,ORL,E,109.01530612244898,112.75,81,115,0.4035902040816327,46.43973455481319,1404.124125145943,1512.7526671264282,0.4827208804579934,0.5172791195420066,1401.7575512371377,1515.1192410352332,1384.2921083148392,1494.1782900967166,0.4643973455481319,0.535602654451868,732.0,2848.0,3580.0,1904.0,543.0,365.0,1107.0,1573.0,8442.0,5.854,1261.0
22,76ers,PHI,E,113.1689497716895,107.4703196347032,156,63,0.3345122448979592,72.58016708188991,1598.2491186836053,1517.1070974562078,0.7204020841447859,0.2795979158552141,1597.39878195991,1517.957434179903,1615.7319162644292,1506.322857458824,0.7258016708188991,0.2741983291811009,474.0,2105.0,2579.0,1425.0,498.0,359.0,696.0,1257.0,7451.0,3.623,1309.0
